Block,Year,BAM,BAPERCM,BARR,Northing,Easting,BAPERCM_prev,BA_prev_adj,Collapsed,Collapsed_adj,Collapsed_prev
1,1984,29.19275886,0.167654912,0.154997389,106909,433056,,,0,,
2,1984,43.53807595,0.233245829,0.209649579,106885,433058,,,0,,
3,1984,52.99534976,0.084383688,0.081011796,106868,433049,,,0,,
4,1984,68.95330526,-0.057851854,-0.059592749,106848,433053,,,0,,
5,1984,30.9942659,0.145602003,0.135930266,106828,433045,,,0,,
6,1984,41.80008799,0.124715237,0.117529881,106804,433046,,,0,,
7,1984,7.1157859,-0.845258753,-1.866000933,106786,433045,,,1,,
8,1984,29.13972485,-0.526882811,-0.748412163,106773,433044,,,1,,
9,1984,35.34735485,-0.028742379,-0.029163531,106752,433047,,,0,,
10,1984,18.24668429,-0.438491843,-0.577128978,106730,433046,,,1,,
11,1984,27.4018547,-0.398981481,-0.509129532,106707,433044,,,1,,
12,1984,39.4338404,0.08541804,0.081965203,106687,433042,,,0,,
13,1984,40.19065007,-0.046426592,-0.047538868,106666,433035,,,0,,
14,1984,44.32561432,0.182347165,0.167501585,106647,433038,,,0,,
15,1984,58.61440238,-0.008640337,-0.008677882,106624,433036,,,0,,
16,1984,15.26935766,-0.6282642,-0.989571892,106602,433034,,,1,,
17,1984,49.18375357,-0.079593978,-0.082940378,106585,433028,,,0,,
18,1984,37.29965834,-0.092506569,-0.097068951,106571,433031,,,0,,
19,1984,35.64191843,0.083977069,0.080636749,106550,433024,,,0,,
20,1984,33.81480742,0.092334137,0.088316817,106531,433028,,,0,,
21,1984,75.49239293,0.035621338,0.035001574,106506,433029,,,0,,
22,1984,29.39519524,-0.271810399,-0.317193824,106486,433024,,,1,,
23,1984,48.42183881,0.383857916,0.32487519,106473,433024,,,0,,
24,1984,54.14067627,0.051946437,0.050642197,106451,433021,,,0,,
27,1984,23.62191005,0.176667237,0.162686067,106384,433009,,,0,,
28,1984,69.49939261,0.121547224,0.114709182,106367,433016,,,0,,
29,1984,31.16434387,0.217448033,0.196756891,106349,433018,,,0,,
30,1984,24.70257865,-0.501711208,-0.696575466,106333,433009,,,1,,
31,1984,59.24368302,0.116210312,0.109939298,106309,433012,,,0,,
32,1984,41.38304156,0.13650548,0.127958186,106291,433008,,,0,,
33,1984,75.96632181,0.190230344,0.174146855,106269,433004,,,0,,
34,1984,6.030640528,-0.851338682,-1.906084592,106252,433005,,,1,,
35,1984,72.97159862,0.064928184,0.062907364,106234,433001,,,0,,
36,1984,39.76551405,0.005631362,0.005615565,106215,432996,,,0,,
37,1984,29.0301618,0.032539982,0.032021768,106188,433001,,,0,,
38,1984,54.25907504,-0.006224332,-0.006243784,106178,433001,,,0,,
39,1984,36.07618471,-0.139134611,-0.149817129,106150,432994,,,0,,
40,1984,38.11988891,0.079351754,0.076360633,106125,432991,,,0,,
41,1984,33.83640587,0.028831969,0.028424148,106110,433000,,,0,,
42,1984,47.95150312,-0.146847162,-0.15881657,106089,432997,,,0,,
43,1984,56.82114202,-0.223516327,-0.252979663,106072,432991,,,0,,
46,1984,44.8535786,0.006110548,0.006091955,106012,432982,,,0,,
47,1984,75.30095212,0.062345203,0.06047892,105993,432978,,,0,,
48,1984,71.62432661,-0.032414589,-0.032951578,105971,432979,,,0,,
49,1984,69.58111328,0.092229003,0.088220565,105954,432979,,,0,,
50,1984,48.64027767,0.149953115,0.139721172,105929,432973,,,0,,
1,1988,17.1261371,-0.314987042,-0.378317523,106909,433056,0.167654912,0.233245829,1,,0
2,1988,44.67951473,0.265577864,0.235528828,106885,433058,0.233245829,0.1260193,0,1,0
3,1988,52.3776341,0.071744074,0.069287297,106868,433049,0.084383688,0.087696987,0,0,0
4,1988,65.16299336,-0.109641037,-0.116130568,106848,433053,-0.057851854,0.114992846,0,0,0
5,1988,30.81201425,0.138865665,0.130032736,106828,433045,0.145602003,0.033431691,0,0,0
6,1988,41.9374934,0.128412405,0.120811693,106804,433046,0.124715237,-0.349828375,0,1,0
7,1988,6.673704909,-0.854872331,-1.93014145,106786,433045,-0.845258753,-0.201083787,1,,1
8,1988,31.20816909,-0.493299222,-0.679834631,106773,433044,-0.526882811,-0.437000566,1,,1
9,1988,36.21474858,-0.004908551,-0.004920638,106752,433047,-0.028742379,-0.482687327,0,1,0
10,1988,18.78051942,-0.422064048,-0.548292227,106730,433046,-0.438491843,-0.21386193,1,,1
11,1988,27.60277918,-0.394574505,-0.50182377,106707,433044,-0.398981481,-0.176536901,1,,1
12,1988,37.38467769,0.029014754,0.028601795,106687,433042,0.08541804,-0.222704036,0,1,0
13,1988,38.50942676,-0.086315716,-0.090270189,106666,433035,-0.046426592,0.133882602,0,0,0
14,1988,43.0205771,0.147536433,0.137617412,106647,433038,0.182347165,-0.027533464,0,1,0
15,1988,40.72562403,-0.311197602,-0.372800845,106624,433036,-0.008640337,-0.222958518,1,1,0
16,1988,16.79350134,-0.591158594,-0.894427959,106602,433034,-0.6282642,-0.044117158,1,,1
17,1988,46.53715811,-0.129121357,-0.138252642,106585,433028,-0.079593978,-0.360385384,0,1,0
18,1988,37.41642741,-0.0896656,-0.093943274,106571,433031,-0.092506569,0.002191546,0,0,0
19,1988,35.57317646,0.081886421,0.078706203,106550,433024,0.083977069,-8.62159E-05,0,0,0
20,1988,35.57394222,0.149160218,0.139031431,106531,433028,0.092334137,0.059799204,0,0,0
21,1988,75.19902708,0.031596881,0.031107971,106506,433029,0.035621338,-0.089738131,0,1,0
22,1988,30.79247747,-0.237196362,-0.270754636,106486,433024,-0.271810399,0.209739627,0,,1
23,1988,49.65406962,0.4190741,0.350004617,106473,433024,0.383857916,-0.109931981,0,1,0
24,1988,53.64489367,0.042313444,0.041442708,106451,433021,0.051946437,0.280262577,0,0,0
27,1988,21.66933168,0.079404357,0.076409368,106384,433009,0.176667237,0.121547224,0,0,0
28,1988,62.24174416,0.004426841,0.004417072,106367,433016,0.121547224,0.197057635,0,0,0
29,1988,26.37439682,0.030326762,0.029875997,106349,433018,0.217448033,-0.190081992,0,1,0
30,1988,18.17562539,-0.633369838,-1.003401671,106333,433009,-0.501711208,0.166829172,1,,1
31,1988,40.83571722,-0.230614197,-0.26216274,106309,433012,0.116210312,-0.182602864,0,1,0
32,1988,24.82861542,-0.318129929,-0.382916151,106291,433008,0.13650548,0.153220328,1,0,0
33,1988,45.41686617,-0.288414511,-0.340259716,106269,433004,0.190230344,-0.357416601,1,1,0
34,1988,2.321970765,-0.942761099,-2.860521528,106252,433005,-0.851338682,0.127579264,1,,1
35,1988,40.89034166,-0.403257183,-0.516269051,106234,433001,0.064928184,-0.42285366,1,1,0
36,1988,15.01420144,-0.620305378,-0.968387975,106215,432996,0.005631362,0.048734083,1,0,0
37,1988,29.6172273,0.05342063,0.052042612,106188,433001,0.032539982,-0.000296485,0,0,0
38,1988,55.26458104,0.012191894,0.012118172,106178,433001,-0.006224332,-0.053297315,0,0,0
39,1988,34.07652172,-0.186851427,-0.206841439,106150,432994,-0.139134611,0.036563711,0,0,0
40,1988,33.63771977,-0.047559348,-0.048727482,106125,432991,0.079351754,-0.055151321,0,0,0
41,1988,19.90615207,-0.394732239,-0.502084338,106110,433000,0.028831969,-0.033747704,1,0,0
42,1988,37.12255105,-0.339515808,-0.414782088,106089,432997,-0.146847162,-0.097342179,1,0,0
43,1988,57.36304712,-0.216110977,-0.243487821,106072,432991,-0.223516327,-0.070368307,0,0,0
46,1988,26.01456665,-0.416467298,-0.538654784,106012,432982,0.006110548,-0.080585562,1,0,0
47,1988,64.2387368,-0.093720438,-0.098407453,105993,432978,0.062345203,-0.01315202,0,0,0
48,1988,43.28559007,-0.41524748,-0.536566564,105971,432979,-0.032414589,0.077287103,1,0,0
49,1988,73.83355347,0.158980428,0.147540678,105954,432979,0.092229003,0.058769263,0,0,0
50,1988,48.04514221,0.135882926,0.127410257,105929,432973,0.149953115,0.092229003,0,0,0
1,1996,15.56784824,-0.377315637,-0.473715528,106909,433056,-0.314987042,0.265577864,1,,1
2,1996,37.58008475,0.064481646,0.062487964,106885,433058,0.265577864,-0.121621484,0,1,0
3,1996,43.58563181,-0.108156689,-0.114464823,106868,433049,0.071744074,0.077968414,0,0,0
4,1996,57.56481591,-0.213459248,-0.240110743,106848,433053,-0.109641037,0.10530487,0,0,0
5,1996,7.330140694,-0.729065244,-1.305877241,106828,433045,0.138865665,0.009385684,1,0,0
6,1996,43.68633949,0.175468618,0.161666892,106804,433046,0.128412405,-0.358003333,0,1,0
7,1996,0,-1,-13,106786,433045,-0.854872331,-0.182443409,1,,1
8,1996,35.59720964,-0.422038064,-0.548247268,106773,433044,-0.493299222,-0.429890441,1,,1
9,1996,28.17117183,-0.225926086,-0.256087914,106752,433047,-0.004908551,-0.457681635,0,1,0
10,1996,19.36102684,-0.4042,-0.517850239,106730,433046,-0.422064048,-0.199741528,1,,1
11,1996,21.56514861,-0.527000861,-0.748661711,106707,433044,-0.394574505,-0.196524647,1,,1
12,1996,41.4379998,0.140582608,0.131539192,106687,433042,0.029014754,-0.24044511,0,1,0
13,1996,33.91196117,-0.195396334,-0.217405463,106666,433035,-0.086315716,0.088275594,0,0,0
14,1996,40.1223008,0.070227436,0.067871183,106647,433038,0.147536433,-0.198756659,0,1,0
15,1996,41.23389445,-0.302601101,-0.360397723,106624,433036,-0.311197602,-0.221811081,1,,1
16,1996,18.61829543,-0.546733589,-0.791275223,106602,433034,-0.591158594,-0.220159479,1,,1
17,1996,27.07781905,-0.493276013,-0.679788827,106585,433028,-0.129121357,-0.340412097,1,,0
18,1996,42.29693087,0.0290761,0.028661409,106571,433031,-0.0896656,-0.023617468,0,1,0
19,1996,35.00692402,0.064664995,0.062660191,106550,433024,0.081886421,0.029747309,0,0,0
20,1996,39.55157159,0.277651275,0.245023451,106531,433028,0.149160218,0.056741651,0,0,0
21,1996,76.38727559,0.047897537,0.046785811,106506,433029,0.031596881,-0.044018072,0,1,0
22,1996,23.08063327,-0.428237268,-0.559031178,106486,433024,-0.237196362,0.22533549,1,,0
23,1996,50.8563375,0.453433966,0.373929009,106473,433024,0.4190741,-0.097441459,0,1,0
24,1996,55.24111727,0.073327865,0.070763976,106451,433021,0.042313444,0.249239229,0,0,0
27,1996,24.23183063,0.207048928,0.188178478,106384,433009,0.079404357,0.004426841,0,0,0
28,1996,61.07059769,-0.014472548,-0.014578297,106367,433016,0.004426841,0.05486556,0,0,0
29,1996,26.00086145,0.015734448,0.015611945,106349,433018,0.030326762,-0.314471498,0,1,0
30,1996,6.146447487,-0.876016754,-2.087608832,106333,433009,-0.633369838,-0.100143717,1,,1
31,1996,4.047215641,-0.923746405,-2.573690712,106309,433012,-0.230614197,-0.475749883,1,1,0
32,1996,18.97066432,-0.479007266,-0.652019184,106291,433008,-0.318129929,-0.259514354,1,,1
33,1996,44.71285489,-0.299444867,-0.355882212,106269,433004,-0.288414511,-0.630445514,1,,1
34,1996,5.578918774,-0.862474075,-1.983942831,106252,433005,-0.942761099,-0.345835847,1,,1
35,1996,42.7475727,-0.376153246,-0.471850527,106234,433001,-0.403257183,-0.781533238,1,,1
36,1996,16.20932219,-0.590081931,-0.89179797,106215,432996,-0.620305378,-0.174918277,1,,1
37,1996,32.83551408,0.167888121,0.155197093,106188,433001,0.05342063,-0.304056742,0,1,0
38,1996,60.06012405,0.100024095,0.095332084,106178,433001,0.012191894,-0.066715398,0,0,0
39,1996,36.11710396,-0.138158178,-0.148683527,106150,432994,-0.186851427,-0.017683727,0,0,0
40,1996,36.04714462,0.020662701,0.020452123,106125,432991,-0.047559348,-0.290791833,0,1,0
41,1996,21.73463753,-0.33913519,-0.414205984,106110,433000,-0.394732239,-0.193537578,1,,1
42,1996,41.04314087,-0.269760699,-0.314382989,106089,432997,-0.339515808,-0.305421608,1,,1
43,1996,59.89165614,-0.181556522,-0.20035094,106072,432991,-0.216110977,-0.377991553,0,1,0
46,1996,28.08511183,-0.370022902,-0.462071813,106012,432982,-0.416467298,-0.154915707,1,,1
47,1996,66.53278666,-0.061356002,-0.063319,105993,432978,-0.093720438,-0.415857389,0,1,0
48,1996,46.48540037,-0.37202069,-0.465248058,105971,432979,-0.41524748,0.032629995,1,,1
49,1996,65.76019049,0.032251194,0.031742043,105954,432979,0.158980428,-0.139682277,0,1,0
50,1996,52.07606084,0.231181877,0.207974584,105929,432973,0.135882926,0.158980428,0,0,0
52,1999,25.37768728,-0.588449292,-0.887823038,105975,433091,,,1,,
53,1999,29.03575777,-0.39404237,-0.500945213,105976,433113,,,1,,
54,1999,25.93677296,-0.536134775,-0.768161233,105972,433133,,,1,,
55,1999,43.97016275,-0.277688611,-0.325298946,105964,433154,,,1,,
56,1999,22.03670167,-0.578043462,-0.862852961,105960,433174,,,1,,
57,1999,18.75711456,-0.378631456,-0.475830904,105960,433191,,,1,,
58,1999,1.074149798,-0.963806814,-3.318884422,105950,433212,,,1,,
60,1999,15.99373039,-0.583603926,-0.876118371,105939,433249,,,1,,
61,1999,30.42848469,-0.460989183,-0.61801964,105935,433264,,,1,,
62,1999,19.91765815,-0.100072747,-0.105441349,105928,433286,,,0,,
63,1999,43.23868217,-0.269494199,-0.314018107,105923,433305,,,1,,
64,1999,29.56034484,-0.475999458,-0.646262561,105916,433326,,,1,,
65,1999,3.923162001,-0.883284654,-2.148017253,105914,433343,,,1,,
66,1999,16.17721904,-0.782094948,-1.523695854,105906,433363,,,1,,
67,1999,28.49027911,1.605491112,0.957621184,105902,433383,,,0,,
1,2014,17.54946851,-0.298054589,-0.35389964,106909,433056,-0.377315637,0.064481646,1,,1
2,2014,46.01547353,0.303419812,0.264991435,106885,433058,0.064481646,-0.242736163,0,1,0
3,2014,33.30481571,-0.31852136,-0.38349037,106868,433049,-0.108156689,-0.074488801,1,0,0
4,2014,34.48728462,-0.528780656,-0.752431595,106848,433053,-0.213459248,-0.418610967,1,1,0
5,2014,8.607099323,-0.681866631,-1.145284585,106828,433045,-0.729065244,-0.018995315,1,,1
6,2014,47.67252562,0.282724954,0.248986685,106804,433046,0.175468618,-0.864532622,0,1,0
7,2014,0,-1,-13,106786,433045,-1,-0.123284723,1,,1
8,2014,18.75949396,-0.695417884,-1.188814553,106773,433044,-0.422038064,-0.612963043,1,,1
9,2014,35.92355957,-0.012909703,-0.012993757,106752,433047,-0.225926086,-0.413119032,0,1,0
10,2014,20.88431037,-0.35732375,-0.442114181,106730,433046,-0.4042,-0.376463474,1,,1
11,2014,27.26970968,-0.401879884,-0.513963682,106707,433044,-0.527000861,-0.131808696,1,,1
12,2014,50.46186485,0.388964856,0.328558762,106687,433042,0.140582608,-0.361198597,0,1,0
13,2014,42.3080103,0.003810426,0.003803185,106666,433035,-0.195396334,0.105405022,0,0,0
14,2014,48.13844965,0.284051227,0.250020101,106647,433038,0.070227436,-0.248998717,0,1,0
15,2014,43.69984285,-0.260893915,-0.302313816,106624,433036,-0.302601101,-0.238253076,1,,1
16,2014,23.49733798,-0.427952248,-0.558532808,106602,433034,-0.546733589,-0.397938557,1,,1
17,2014,28.40343537,-0.468468934,-0.631993633,106585,433028,-0.493276013,-0.258828745,1,,1
18,2014,45.24203253,0.10072985,0.09597346,106571,433031,0.0290761,-0.214305509,0,1,0
19,2014,41.85884679,0.273052407,0.241417487,106550,433024,0.064664995,0.153363687,0,0,0
20,2014,45.80220288,0.479568082,0.391750209,106531,433028,0.277651275,0.056281266,0,0,0
21,2014,83.4738182,0.145112295,0.135502707,106506,433029,0.047897537,-0.075292997,0,1,0
22,2014,27.76428246,-0.312212027,-0.374274667,106486,433024,-0.428237268,0.250665752,1,,1
23,2014,49.81957804,0.4238042,0.353332304,106473,433024,0.453433966,-0.177454702,0,1,0
24,2014,17.48436455,-0.660281026,-1.07963655,106451,433021,0.073327865,0.330241447,1,,0
27,2014,30.05516873,0.497124164,0.403546044,106384,433009,0.207048928,-0.014472548,0,1,0
28,2014,64.44208513,0.039934868,0.039158084,106367,433016,-0.014472548,0.111391688,0,0,0
29,2014,27.9674029,0.092558206,0.088521925,106349,433018,0.015734448,-0.445244651,0,1,0
30,2014,9.16150562,-0.81519842,-1.688472569,106333,433009,-0.876016754,-0.454005978,1,,1
31,2014,16.10553526,-0.696555588,-1.192556843,106309,433012,-0.923746405,-0.67751201,1,,1
32,2014,26.15681648,-0.281653447,-0.330803162,106291,433008,-0.479007266,-0.611595636,1,,1
33,2014,47.99342176,-0.248045377,-0.285079299,106269,433004,-0.299444867,-0.67074067,0,1,1
34,2014,8.608392457,-0.78779452,-1.550200226,106252,433005,-0.862474075,-0.337799056,1,,1
35,2014,47.07176544,-0.313047122,-0.37548958,106234,433001,-0.376153246,-0.726278003,1,,1
36,2014,20.92892475,-0.47072775,-0.636252329,106215,432996,-0.590081931,-0.104132562,1,,1
37,2014,33.92392586,0.20660057,0.18780696,106188,433001,0.167888121,-0.245028918,0,1,0
38,2014,53.67982894,-0.016833445,-0.016976738,106178,433001,0.100024095,0.014864971,0,0,0
39,2014,27.46755691,-0.344557379,-0.422444514,106150,432994,-0.138158178,0.060343398,1,0,0
40,2014,43.25990508,0.224889572,0.202850695,106125,432991,0.020662701,-0.238646684,0,1,0
41,2014,25.00550296,-0.239681042,-0.274017252,106110,433000,-0.33913519,-0.124548999,0,,1
42,2014,57.55778834,0.024067804,0.023782739,106089,432997,-0.269760699,-0.260345856,0,,1
43,2014,67.54336841,-0.076992808,-0.080118252,106072,432991,-0.181556522,-0.319891801,0,1,0
46,2014,27.54574177,-0.382121511,-0.481463461,106012,432982,-0.370022902,-0.121456262,1,,1
47,2014,27.87360096,-0.606759471,-0.93333382,105993,432978,-0.061356002,-0.371021796,1,1,0
48,2014,35.25898715,-0.523680247,-0.7416659,105971,432979,-0.37202069,-0.014552404,1,,1
49,2014,70.46067698,0.106035695,0.100782176,105954,432979,0.032251194,-0.070419406,0,1,0
50,2014,59.08249694,0.396827992,0.334203946,105929,432973,0.231181877,-0.278099049,0,1,0
52,2014,28.02892315,-0.545454121,-0.788456426,105975,433091,-0.588449292,-0.39404237,1,,1
53,2014,31.95552709,-0.333108658,-0.405128152,105976,433113,-0.39404237,-0.562292033,1,,1
54,2014,30.20089142,-0.459873312,-0.615951559,105972,433133,-0.536134775,-0.33586549,1,,1
55,2014,49.12830032,-0.192954298,-0.214374981,105964,433154,-0.277688611,-0.557089119,0,,1
56,2014,24.5235709,-0.530425141,-0.755927549,105960,433174,-0.578043462,-0.328160033,1,,1
57,2014,20.62523735,-0.316745991,-0.380888587,105960,433191,-0.378631456,-0.770925138,1,,1
58,2014,2.008386438,-0.932327965,-2.693082252,105950,433212,-0.963806814,-0.481117691,1,,1
60,2014,1.293133962,-0.966333314,-3.391246465,105939,433249,-0.583603926,-0.712397999,1,,1
61,2014,42.39942159,-0.248935755,-0.286264085,105935,433264,-0.460989183,-0.341838336,0,,1
62,2014,25.9095305,0.170654323,0.157562843,105928,433286,-0.100072747,-0.365241691,0,1,0
63,2014,38.25663501,-0.353664534,-0.436436612,105923,433305,-0.269494199,-0.288036103,1,,1
64,2014,35.32642831,-0.373787157,-0.468064961,105916,433326,-0.475999458,-0.576389427,1,,1
65,2014,3.07790704,-0.908431264,-2.390665381,105914,433343,-0.883284654,-0.629047203,1,,1
66,2014,19.61763732,-0.735752958,-1.33087085,105906,433363,-0.782094948,0.361103229,1,,1
67,2014,34.57313025,2.16177961,1.151135037,105902,433383,1.605491112,-0.782094948,0,1,0
