"Block","Year","BAM","BAPERCM","LightM","MoistM","NitM","LightPercM","MoistPercM","NitPercM"
1,1964,25.0011870363493,0,5,2.7694965836802,1,0,0,0
1,1984,29.192758859631,0.167654912432263,5,2.79302517193254,1,0,0.0084956191645025,0
1,1988,17.1261370966417,-0.31498704154559,5,3.04563834873261,1,0,0.0997082887480815,0
1,1996,15.5678482355989,-0.377315636534988,5,3.11235470395932,1,1.77635683940025e-16,0.123797993577416,0
1,2014,17.5494685114236,-0.298054588931782,5,3.1007926870031,1,0,0.119623221517993,0
2,1964,35.3036474447153,0,3.31256952169077,2.41223581757508,1.4289766407119,0,0,0
2,1984,43.5380759490395,0.233245828698554,3.0172176482473,2.35883133938493,1.49933254441286,-0.0891609584370986,-0.0221389956160414,0.0492351671094518
2,1988,44.6795147348591,0.26557786429366,3.00857830050332,2.36792910948715,1.50076136811588,-0.091769008679489,-0.0183674861989535,0.050235060083429
2,1996,37.5800847514146,0.0644816462736374,2.50749710805679,2,1.62781657504057,-0.243035627890176,-0.170893664115097,0.139148484771318
2,2014,46.0154735281222,0.303419812363054,2.3317826899035,2,1.68013695536858,-0.296080376687963,-0.170893664115097,0.175762365528632
3,1964,48.8714007174062,0,4.08758537565287,2,1.24210526315789,0,0,0
3,1984,52.9953497588195,0.0843836882282042,3.92388935140056,2,1.27413245716704,-0.0400471205390222,0,0.0257846053463418
3,1988,52.3776341033074,0.0717440739252711,3.91661740212351,2,1.27084564946912,-0.041826153539866,0,0.0231384466064979
3,1996,43.5856318078332,-0.108156689433507,3.70702108930632,2,1.32558818415009,-0.0931024679296796,0,0.0672108262225295
3,2014,33.3048157134579,-0.318521359638544,NA,NA,NA,NA,NA,NA
4,1964,73.1873278561912,0,2.8991790524226,2,1.53847185705854,0,0,0
4,1984,68.9533052621778,-0.0578518538391371,2.52250991880716,2,1.6234389963104,-0.129922687355473,0,0.0552282700928391
4,1988,65.1629933605758,-0.109641036647529,2.41897910160652,2,1.64525522459837,-0.165633078238068,0,0.0694087233704706
4,1996,57.5648159084199,-0.213459247733004,2.71168911967997,2,1.57207772008001,-0.0646700080789968,0,0.021843664456573
4,2014,34.4872846159672,-0.528780656075698,4.45276662514261,2,1.13680834371435,0.535871550058907,0,-0.261079532590312
5,1964,27.0550032336336,0,2.9046374918354,2,1.52384062704115,0,0,0
5,1984,30.9942658969239,0.145602003048117,2.83082307850683,2,1.54229423037329,-0.025412607781884,0,0.0121099300049332
5,1988,30.8120142531075,0.138865665142608,2.82867535493228,2,1.54283116126693,-0.0261520196983754,0,0.0124622837118167
5,1996,7.33014069394247,-0.729065244212207,1,2,2,-0.655722959298403,0,0.312473210458637
5,2014,8.6070993233903,-0.681866631134225,1,2,2,-0.655722959298403,0,0.312473210458637
6,1964,37.1650410919673,0,1,2,2,0,0,0
6,1984,41.8000879882114,0.12471523668639,1,2,2,0,0,0
6,1988,41.9374933968978,0.128412404902789,1,2,2,0,0,0
6,1996,43.6863394873349,0.175468617920541,1,2,2,0,0,0
6,2014,47.6725256167744,0.282724953775935,1,2,2,0,0,0
7,1964,45.9850624669206,0,1.67788215200683,2,1.83052946199829,0,0,0
7,1984,7.11578590019722,-0.845258753202391,1,2,2,-0.404010586319218,0,0.0925800657787315
7,1988,6.67370490897488,-0.854872331340734,1,2,2,-0.404010586319218,0,0.0925800657787315
8,1964,61.5909239736279,0,2.57542718694211,2,1.61830527926549,0,0,0
8,1984,29.1397248486476,-0.526882810507524,4.95345110823315,2,1.02327444588343,0.923351253472846,0,-0.36768763039081
8,1988,31.2081690867252,-0.49329922213721,4.94544799074379,2,1.02727600462811,0.920243762206956,0,-0.365214945665653
8,1996,35.5972096432392,-0.422038064269319,4.93539704051571,2,1.03230147974214,0.916341128003575,0,-0.36210955190687
8,2014,18.7594939646603,-0.695417883766564,4.80433315828009,2,1.09783342085995,0.86545097552707,0,-0.321615374474813
9,1964,36.3933873964293,0,2.0079309414621,2,1.75991367682762,0,0,0
9,1984,35.3473548525084,-0.0287423792824385,1.48794873532545,2,1.88143488650869,-0.258964188159785,0,0.0690495285542196
9,1988,36.2147485841645,-0.00490855138926359,1.53383156166606,2,1.86982230554944,-0.236113389164081,0,0.062451147558519
9,1996,28.1711718335459,-0.225926085783653,1.75332776672665,2,1.81728891385653,-0.126798770554356,0,0.03260116549144
9,2014,35.9235595731025,-0.0129097030240411,1.78474176703241,2,1.81046289025189,-0.111153810034509,0,0.0287225527534888
10,1964,32.4958490105694,0,1.02042296072508,2,2,0,0,0
10,1984,18.2466842913149,-0.438491842900302,1,2,2,-0.0200142112742775,0,0
10,1988,18.7805194229761,-0.422064048338369,1,2,2,-0.0200142112742775,0,0
10,1996,19.3610268404973,-0.4042,1,2,2,-0.0200142112742775,0,0
10,2014,20.8843103674815,-0.357323750467674,1,2,2,-0.0200142112742775,0,0
11,1964,45.5923633852219,0,3.47691645133506,2,1.39375538329027,0,0,0
11,1984,27.401854697544,-0.398981481481481,3.02373232346756,2,1.50159541117755,-0.130340816125589,0,0.0773737121880776
11,1988,27.6027791826951,-0.394574504737295,2.96489396058324,2,1.50877650985419,-0.147263386370762,0,0.0825260500823251
11,1996,21.5651486113018,-0.527000861326443,3.73486939863644,2,1.32189175310297,0.0741901483431789,0,-0.0515611498609254
11,2014,27.2697096787954,-0.401879883953669,3.45267277926733,2,1.39488957914857,-0.00697275082880286,0,0.000813769669984242
12,1964,36.3305555433575,0,1.70691239258499,2,1.83651299789223,0,0,0
12,1984,39.4338404015275,0.0854180403177864,1.75022020575109,2,1.82372336680527,0.0253720187129929,0,-0.00696408416474092
12,1988,37.3846776883614,0.0290147543641572,1.70077931245293,2,1.82815840032437,-0.00359308430749068,0,-0.00454916332062444
12,1996,41.4379997999311,0.140582608225693,1.70757669089565,2,1.82310582727609,0.000389181257076134,0,-0.00730034071718191
12,2014,50.4618648496049,0.388964856025472,1.62892221040244,2,1.84931836163751,-0.0456907938107129,0,0.00697265075715404
13,1964,42.1474106910198,0,2.08760569285598,2,1.73091705294542,0,0,0
13,1984,40.1906500717773,-0.0464265915073024,2.18433645530079,2,1.71034147852379,0.0463357437545966,0,-0.0118870944084926
13,1988,38.5094267632088,-0.0863157159162376,2.16873106136894,2,1.70781723465776,0.0388604844250913,0,-0.0133454218666062
13,1996,33.9119611690832,-0.195396333651674,2.39823127723461,2,1.65044218069135,0.148795141458768,0,-0.0464926219989207
13,2014,42.3080102981407,0.00381042641737211,2.15217374895736,2,1.71195656276066,0.0309292393301781,0,-0.0109540143200397
14,1964,37.4895087082208,0,2.81037801317219,2,1.55057415578804,0,0,0
14,1984,44.3256143224322,0.182347164573868,2.76489677672277,2,1.56566178734299,-0.0161833163497066,0,0.00973035149504751
14,1988,43.0205770991769,0.147536433032616,2.84988544148388,2,1.54081478033062,0.0140576919284559,0,-0.00629403980518296
14,1996,40.1223007966077,0.0702274363976797,3.01295871806567,2,1.50226581815121,0.0720830806190414,0,-0.0311551288640425
14,2014,48.1384496516481,0.284051226872764,2.76425190487114,2,1.56625249089837,-0.0164127772437953,0,0.0101113094474105
15,1964,59.125264614412,0,3.51073898496459,2,1.37231525375885,0,0,0
15,1984,58.6144023790302,-0.00864033740421236,3.58754317539789,2,1.35937273361613,0.021876929832216,0,-0.00943115665826373
15,1988,40.7256240307755,-0.31119760230471,4.78638943677352,2,1.0615151636414,0.363356677119019,0,-0.226478638393151
15,1996,41.2338944522182,-0.302601100880871,4.82722491398912,2,1.0506374924108,0.37498826733136,0,-0.234405148865724
15,2014,43.6998428536369,-0.260893915001865,4.79720420709595,2,1.06286550726867,0.366437159709364,0,-0.225494649019298
16,1964,41.0758330718344,0,1.05260579117819,2,2,0,0,0
16,1984,15.2693576635997,-0.628264200097994,1.11198695577256,2,2,0.0564134884037646,0,0
16,1988,16.7935013394887,-0.59115859415146,1.12002534824608,2,2,0.0640501483394155,0,0
16,1996,18.6182954323264,-0.546733589072527,1.05332295601663,2,2,0.000681323287831794,0,0
16,2014,23.4973379799309,-0.427952247764806,1,2,2,-0.0499767259681429,0,0
17,1964,53.437018416006,0,1.01765554238892,2,2,0,0,0
17,1984,49.1837535669894,-0.0795939776412123,1.02980788116769,2,2,0.0119415050305198,0,0
17,1988,46.5371581058808,-0.129121356592352,1.01949607572281,2,2,0.00180860149356001,0,0
17,1996,27.0778190502803,-0.49327601252974,1,2,2,-0.0173492322829315,0,0
17,2014,28.4034353701141,-0.468468933857911,1,2,2,-0.0173492322829315,0,0
18,1964,41.101849385997,0,2.47800124205799,2.25834806286724,1.63338986289591,0,0,0
18,1984,37.2996583371736,-0.0925065685759328,2.12280644495635,2,1.7225413443276,-0.143339232875708,-0.114396920082921,0.0545806506192211
18,1988,37.4164274091167,-0.089665599770697,2.12025117508736,2,1.72340723644956,-0.144370414711141,-0.114396920082921,0.0551107703056655
18,1996,42.2969308663766,0.0290760999378971,2.02232465943881,2,1.7444188351403,-0.183888762800113,-0.114396920082921,0.0679745691867735
18,2014,45.2420325284917,0.100729850465203,2.07131014670895,2,1.73605090203196,-0.164120618039433,-0.114396920082921,0.0628515221430599
19,1964,32.8806941106342,0,1.83070584020064,2.2106771766392,1.81522453123134,0,0,0
19,1984,35.6419184336906,0.083977069150842,1.84277236798904,2.19158915574242,1.81275134583645,0.00659118877725773,-0.0086344677994986,-0.00136246803210335
19,1988,35.5731764594392,0.0818864206377643,1.87138183622588,2.19288115703966,1.8053056558742,0.0222187503486494,-0.00805003090798964,-0.00546426912289948
19,1996,35.0069240185837,0.0646649946255822,1.63577970124876,2,1.87696086349788,-0.10647594751242,-0.0952998379254456,0.034010300766847
19,2014,41.8588467890981,0.273052407234928,1.67903168131764,2,1.86910986973276,-0.0828500983349556,-0.0952998379254456,0.0296852194173839
20,1964,30.9564686103104,0,3.12739439299759,2,1.49758975009514,0,0,0
20,1984,33.8148074162709,0.0923341367499682,2.77818501498687,2,1.55847434695913,-0.111661445320941,0,0.0406550571410662
20,1988,35.5739422226485,0.149160218191044,2.73426590409578,2,1.56965248271576,-0.125704800706314,0,0.0481191411840522
20,1996,39.5515715862208,0.277651274895344,2.60132251426642,2,1.59966937143339,-0.168214114570605,0,0.068162606836597
20,2014,45.8022028834779,0.479568081878143,2.42711978390933,2,1.64595702640529,-0.223916308942746,0,0.0990707076492218
21,1964,72.8957487880299,0,4.15347941441866,2,1.22414512935853,0,0,0
21,1984,75.4923929259464,0.0356213384331526,3.82772558023885,2,1.30796172280662,-0.0784291437797839,0,0.0684694906166995
21,1988,75.1990270769634,0.0315968808500896,3.7751776503288,2,1.32025285552586,-0.0910806883444761,0,0.0785100752046424
21,1996,76.3872755933214,0.047897536733512,3.57723014662865,2,1.37115191040857,-0.138738924716848,0,0.120089340327706
21,2014,83.4738182034901,0.145112295179513,3.41487363365871,2,1.40462286366821,-0.177828203071358,0,0.147431648406146
22,1964,40.3675021032203,0,2.82722895082446,2,1.57930833211732,0,0,0
22,1984,29.3951952362467,-0.271810399338489,1.19555469462322,2,2,-0.577128447883721,0,0.266377159752379
22,1988,30.792477473793,-0.237196361690744,1.21941172569645,2,2,-0.568690139034955,0,0.266377159752379
22,1996,23.0806332724394,-0.428237268349628,1.16245351926478,2,2,-0.588836440385985,0,0.266377159752379
22,2014,27.7642824618872,-0.312212026622467,1.12662790266329,2,2,-0.601508076544436,0,0.266377159752379
23,1964,34.9904699270606,0,2.47470609691086,2,1.64086305098061,0,0,0
23,1984,48.4218388086775,0.383857916444544,2.1383315545492,2,1.7199789627688,-0.135925046930443,0,0.0482160359092192
23,1988,49.6540696221859,0.41907410005331,2.14500243390206,2,1.7183174559614,-0.133229422039395,0,0.0472034548736401
23,1996,50.8563374957606,0.453433966499257,2.1338925412688,2,1.71907986280024,-0.137718800655758,0,0.0476680925765768
23,2014,49.8195780418202,0.423804199991358,2.27927226240388,2,1.68018193439903,-0.0789725433460307,0,0.02396231872911
24,1964,51.4671416474348,0,4.17839157637723,2,1.2244391881581,0,0,0
24,1984,54.1406762655479,0.0519464367465282,4.07220234412457,2,1.25327686390108,-0.0254139015723211,0,0.0235517419091764
24,1988,53.6448936749032,0.0423134442240196,4.05785999988287,2,1.23943601140802,-0.0288464051995006,0,0.0122479118562745
24,1996,55.2411172672381,0.0733278650999542,3.97168664185452,2,1.25707833953637,-0.0494699768426036,0,0.0266564086595211
24,2014,17.4843645517824,-0.660281026066,1,2,2,-0.760673459698331,0,0.633400841252531
27,1964,20.0752679302909,0,2.48519451304497,2.00273858718243,1.69053964838497,0,0,0
27,1984,23.6219100516988,0.176667237205663,2.50280286670424,2.00816671570852,1.70670476969446,0.00708530200225507,0.0027103529940594,0.00956210717976173
27,1988,21.6693316776764,0.0794043572878205,2.54560669076938,1.98964036208443,1.66844809307636,0.02430883273213,-0.00654015715372467,-0.0130677534417565
27,1996,24.2318306304392,0.207048927794214,2.45656206016123,1.99159885164859,1.69259559668978,-0.0115212120151723,-0.00556225141171224,0.00121614911946979
27,2014,30.0551687263387,0.497124164454586,2.35559290582203,1.99843784883674,1.73589055311689,-0.0521494822810257,-0.00214742871247436,0.026826288738778
28,1964,61.9674242182065,0,4.22436014226982,2,1.20389103208992,0,0,0
28,1984,69.4993926051881,0.121547223916539,4.08630612432284,2,1.24497715121166,-0.0326804565182758,0,0.0341277723868478
28,1988,62.2417441617272,0.00442684115051599,4.15890428417393,2,1.22957646597134,-0.0154948574201641,0,0.0213353477987381
28,1996,61.0705976903771,-0.0144725481032011,4.394774137543,2,1.16741761244896,0.0403407828721757,0,-0.0302962798698217
28,2014,64.442085129268,0.0399348680743514,4.36158557045432,2,1.168738543732,0.0324843108927662,0,-0.0291990615603285
29,1964,25.5980896405313,0,3.52588785763596,2,1.37869141673698,0,0,0
29,1984,31.1643438692076,0.21744803252282,3.35810651170908,2,1.41813976550967,-0.047585559354509,0,0.0286128921191497
29,1988,26.3743968201875,0.0303267622919386,4.00862915479547,2,1.25701793503306,0.136913400723748,0,-0.0882528753184612
29,1996,26.0008614536756,0.0157344481092276,4.11196159530227,2,1.22200960117443,0.16622018661117,0,-0.113645311532709
29,2014,27.9674029045786,0.0925582063864558,3.67967946969983,2,1.33827478400298,0.0436178398955065,0,-0.0293152131385994
30,1964,49.5748229474991,0,1.93339142316794,2,1.77123166952165,0,0,0
30,1984,24.7025786546256,-0.501711207707465,3.09074376118758,2,1.49636751525326,0.598612533474087,0,-0.155182497579566
