"Block","Year","Easting","Northing","Transect"
1,1954,433056,106909,"Enclosed"
1,1956,433056,106909,"Enclosed"
1,1958,433056,106909,"Enclosed"
1,1959,433056,106909,"Enclosed"
1,1964,433056,106909,"Enclosed"
1,1984,433056,106909,"Enclosed"
1,1988,433056,106909,"Enclosed"
1,1996,433056,106909,"Enclosed"
1,2014,433056,106909,"Enclosed"
2,1954,433058,106885,"Enclosed"
2,1956,433058,106885,"Enclosed"
2,1958,433058,106885,"Enclosed"
2,1959,433058,106885,"Enclosed"
2,1964,433058,106885,"Enclosed"
2,1984,433058,106885,"Enclosed"
2,1988,433058,106885,"Enclosed"
2,1996,433058,106885,"Enclosed"
2,2014,433058,106885,"Enclosed"
3,1954,433049,106868,"Enclosed"
3,1956,433049,106868,"Enclosed"
3,1958,433049,106868,"Enclosed"
3,1959,433049,106868,"Enclosed"
3,1964,433049,106868,"Enclosed"
3,1984,433049,106868,"Enclosed"
3,1988,433049,106868,"Enclosed"
3,1996,433049,106868,"Enclosed"
3,2014,433049,106868,"Enclosed"
4,1954,433053,106848,"Enclosed"
4,1956,433053,106848,"Enclosed"
4,1958,433053,106848,"Enclosed"
4,1959,433053,106848,"Enclosed"
4,1964,433053,106848,"Enclosed"
4,1984,433053,106848,"Enclosed"
4,1988,433053,106848,"Enclosed"
4,1996,433053,106848,"Enclosed"
4,2014,433053,106848,"Enclosed"
5,1954,433045,106828,"Enclosed"
5,1956,433045,106828,"Enclosed"
5,1958,433045,106828,"Enclosed"
5,1959,433045,106828,"Enclosed"
5,1964,433045,106828,"Enclosed"
5,1984,433045,106828,"Enclosed"
5,1988,433045,106828,"Enclosed"
5,1996,433045,106828,"Enclosed"
5,2014,433045,106828,"Enclosed"
6,1954,433046,106804,"Enclosed"
6,1956,433046,106804,"Enclosed"
6,1958,433046,106804,"Enclosed"
6,1959,433046,106804,"Enclosed"
6,1964,433046,106804,"Enclosed"
6,1984,433046,106804,"Enclosed"
6,1988,433046,106804,"Enclosed"
6,1996,433046,106804,"Enclosed"
6,2014,433046,106804,"Enclosed"
7,1954,433045,106786,"Enclosed"
7,1956,433045,106786,"Enclosed"
7,1958,433045,106786,"Enclosed"
7,1959,433045,106786,"Enclosed"
7,1964,433045,106786,"Enclosed"
7,1984,433045,106786,"Enclosed"
7,1988,433045,106786,"Enclosed"
7,1996,433045,106786,"Enclosed"
7,2014,433045,106786,"Enclosed"
8,1954,433044,106773,"Enclosed"
8,1956,433044,106773,"Enclosed"
8,1958,433044,106773,"Enclosed"
8,1959,433044,106773,"Enclosed"
8,1964,433044,106773,"Enclosed"
8,1984,433044,106773,"Enclosed"
8,1988,433044,106773,"Enclosed"
8,1996,433044,106773,"Enclosed"
8,2014,433044,106773,"Enclosed"
9,1954,433047,106752,"Enclosed"
9,1956,433047,106752,"Enclosed"
9,1958,433047,106752,"Enclosed"
9,1959,433047,106752,"Enclosed"
9,1964,433047,106752,"Enclosed"
9,1984,433047,106752,"Enclosed"
9,1988,433047,106752,"Enclosed"
9,1996,433047,106752,"Enclosed"
9,2014,433047,106752,"Enclosed"
10,1954,433046,106730,"Enclosed"
10,1956,433046,106730,"Enclosed"
10,1958,433046,106730,"Enclosed"
10,1959,433046,106730,"Enclosed"
10,1964,433046,106730,"Enclosed"
10,1984,433046,106730,"Enclosed"
10,1988,433046,106730,"Enclosed"
10,1996,433046,106730,"Enclosed"
10,2014,433046,106730,"Enclosed"
11,1954,433044,106707,"Enclosed"
11,1956,433044,106707,"Enclosed"
11,1958,433044,106707,"Enclosed"
11,1959,433044,106707,"Enclosed"
11,1964,433044,106707,"Enclosed"
11,1984,433044,106707,"Enclosed"
11,1988,433044,106707,"Enclosed"
11,1996,433044,106707,"Enclosed"
11,2014,433044,106707,"Enclosed"
12,1954,433042,106687,"Enclosed"
12,1956,433042,106687,"Enclosed"
12,1958,433042,106687,"Enclosed"
12,1959,433042,106687,"Enclosed"
12,1964,433042,106687,"Enclosed"
12,1984,433042,106687,"Enclosed"
12,1988,433042,106687,"Enclosed"
12,1996,433042,106687,"Enclosed"
12,2014,433042,106687,"Enclosed"
13,1954,433035,106666,"Enclosed"
13,1956,433035,106666,"Enclosed"
13,1958,433035,106666,"Enclosed"
13,1959,433035,106666,"Enclosed"
13,1964,433035,106666,"Enclosed"
13,1984,433035,106666,"Enclosed"
13,1988,433035,106666,"Enclosed"
13,1996,433035,106666,"Enclosed"
13,2014,433035,106666,"Enclosed"
14,1954,433038,106647,"Enclosed"
14,1956,433038,106647,"Enclosed"
14,1958,433038,106647,"Enclosed"
14,1959,433038,106647,"Enclosed"
14,1964,433038,106647,"Enclosed"
14,1984,433038,106647,"Enclosed"
14,1988,433038,106647,"Enclosed"
14,1996,433038,106647,"Enclosed"
14,2014,433038,106647,"Enclosed"
15,1954,433036,106624,"Enclosed"
15,1956,433036,106624,"Enclosed"
15,1958,433036,106624,"Enclosed"
15,1959,433036,106624,"Enclosed"
15,1964,433036,106624,"Enclosed"
15,1984,433036,106624,"Enclosed"
15,1988,433036,106624,"Enclosed"
15,1996,433036,106624,"Enclosed"
15,2014,433036,106624,"Enclosed"
16,1954,433034,106602,"Enclosed"
16,1956,433034,106602,"Enclosed"
16,1958,433034,106602,"Enclosed"
16,1959,433034,106602,"Enclosed"
16,1964,433034,106602,"Enclosed"
16,1984,433034,106602,"Enclosed"
16,1988,433034,106602,"Enclosed"
16,1996,433034,106602,"Enclosed"
16,2014,433034,106602,"Enclosed"
17,1954,433028,106585,"Enclosed"
17,1956,433028,106585,"Enclosed"
17,1958,433028,106585,"Enclosed"
17,1959,433028,106585,"Enclosed"
17,1964,433028,106585,"Enclosed"
17,1984,433028,106585,"Enclosed"
17,1988,433028,106585,"Enclosed"
17,1996,433028,106585,"Enclosed"
17,2014,433028,106585,"Enclosed"
18,1954,433031,106571,"Enclosed"
18,1956,433031,106571,"Enclosed"
18,1958,433031,106571,"Enclosed"
18,1959,433031,106571,"Enclosed"
18,1964,433031,106571,"Enclosed"
18,1984,433031,106571,"Enclosed"
18,1988,433031,106571,"Enclosed"
18,1996,433031,106571,"Enclosed"
18,2014,433031,106571,"Enclosed"
19,1954,433024,106550,"Enclosed"
19,1956,433024,106550,"Enclosed"
19,1958,433024,106550,"Enclosed"
19,1959,433024,106550,"Enclosed"
19,1964,433024,106550,"Enclosed"
19,1984,433024,106550,"Enclosed"
19,1988,433024,106550,"Enclosed"
19,1996,433024,106550,"Enclosed"
19,2014,433024,106550,"Enclosed"
20,1954,433028,106531,"Enclosed"
20,1956,433028,106531,"Enclosed"
20,1958,433028,106531,"Enclosed"
20,1959,433028,106531,"Enclosed"
20,1964,433028,106531,"Enclosed"
20,1984,433028,106531,"Enclosed"
20,1988,433028,106531,"Enclosed"
20,1996,433028,106531,"Enclosed"
20,2014,433028,106531,"Enclosed"
21,1954,433029,106506,"Enclosed"
21,1956,433029,106506,"Enclosed"
21,1958,433029,106506,"Enclosed"
21,1959,433029,106506,"Enclosed"
21,1964,433029,106506,"Enclosed"
21,1984,433029,106506,"Enclosed"
21,1988,433029,106506,"Enclosed"
21,1996,433029,106506,"Enclosed"
21,2014,433029,106506,"Enclosed"
22,1954,433024,106486,"Enclosed"
22,1956,433024,106486,"Enclosed"
22,1958,433024,106486,"Enclosed"
22,1959,433024,106486,"Enclosed"
22,1964,433024,106486,"Enclosed"
22,1984,433024,106486,"Enclosed"
22,1988,433024,106486,"Enclosed"
22,1996,433024,106486,"Enclosed"
22,2014,433024,106486,"Enclosed"
23,1954,433024,106473,"Enclosed"
23,1956,433024,106473,"Enclosed"
23,1958,433024,106473,"Enclosed"
23,1959,433024,106473,"Enclosed"
23,1964,433024,106473,"Enclosed"
23,1984,433024,106473,"Enclosed"
23,1988,433024,106473,"Enclosed"
23,1996,433024,106473,"Enclosed"
23,2014,433024,106473,"Enclosed"
24,1954,433021,106451,"Enclosed"
24,1956,433021,106451,"Enclosed"
24,1958,433021,106451,"Enclosed"
24,1959,433021,106451,"Enclosed"
24,1964,433021,106451,"Enclosed"
24,1984,433021,106451,"Enclosed"
24,1988,433021,106451,"Enclosed"
24,1996,433021,106451,"Enclosed"
24,2014,433021,106451,"Enclosed"
25,1954,433013,106430,"Enclosed"
25,1956,433013,106430,"Enclosed"
25,1958,433013,106430,"Enclosed"
25,1959,433013,106430,"Enclosed"
25,1964,433013,106430,"Enclosed"
25,1984,433013,106430,"Enclosed"
25,1988,433013,106430,"Enclosed"
25,1996,433013,106430,"Enclosed"
25,2014,433013,106430,"Enclosed"
26,1954,433020,106404,"Enclosed"
26,1956,433020,106404,"Enclosed"
26,1958,433020,106404,"Enclosed"
26,1959,433020,106404,"Enclosed"
26,1964,433020,106404,"Enclosed"
26,1984,433020,106404,"Enclosed"
26,1988,433020,106404,"Enclosed"
26,1996,433020,106404,"Enclosed"
26,2014,433020,106404,"Enclosed"
27,1954,433009,106384,"Enclosed"
27,1956,433009,106384,"Enclosed"
27,1958,433009,106384,"Enclosed"
27,1959,433009,106384,"Enclosed"
27,1964,433009,106384,"Enclosed"
27,1984,433009,106384,"Enclosed"
27,1988,433009,106384,"Enclosed"
27,1996,433009,106384,"Enclosed"
27,2014,433009,106384,"Enclosed"
28,1954,433016,106367,"Enclosed"
28,1956,433016,106367,"Enclosed"
28,1958,433016,106367,"Enclosed"
28,1959,433016,106367,"Enclosed"
28,1964,433016,106367,"Enclosed"
28,1984,433016,106367,"Enclosed"
28,1988,433016,106367,"Enclosed"
28,1996,433016,106367,"Enclosed"
28,2014,433016,106367,"Enclosed"
29,1954,433018,106349,"Enclosed"
29,1956,433018,106349,"Enclosed"
29,1958,433018,106349,"Enclosed"
29,1959,433018,106349,"Enclosed"
29,1964,433018,106349,"Enclosed"
29,1984,433018,106349,"Enclosed"
29,1988,433018,106349,"Enclosed"
29,1996,433018,106349,"Enclosed"
29,2014,433018,106349,"Enclosed"
30,1954,433009,106333,"Enclosed"
30,1956,433009,106333,"Enclosed"
30,1958,433009,106333,"Enclosed"
30,1959,433009,106333,"Enclosed"
30,1964,433009,106333,"Enclosed"
30,1984,433009,106333,"Enclosed"
30,1988,433009,106333,"Enclosed"
30,1996,433009,106333,"Enclosed"
30,2014,433009,106333,"Enclosed"
31,1954,433012,106309,"Enclosed"
31,1956,433012,106309,"Enclosed"
31,1958,433012,106309,"Enclosed"
31,1959,433012,106309,"Enclosed"
31,1964,433012,106309,"Enclosed"
31,1984,433012,106309,"Enclosed"
31,1988,433012,106309,"Enclosed"
31,1996,433012,106309,"Enclosed"
31,2014,433012,106309,"Enclosed"
32,1954,433008,106291,"Enclosed"
32,1956,433008,106291,"Enclosed"
32,1958,433008,106291,"Enclosed"
32,1959,433008,106291,"Enclosed"
32,1964,433008,106291,"Enclosed"
32,1984,433008,106291,"Enclosed"
32,1988,433008,106291,"Enclosed"
32,1996,433008,106291,"Enclosed"
32,2014,433008,106291,"Enclosed"
33,1954,433004,106269,"Enclosed"
33,1956,433004,106269,"Enclosed"
33,1958,433004,106269,"Enclosed"
33,1959,433004,106269,"Enclosed"
33,1964,433004,106269,"Enclosed"
33,1984,433004,106269,"Enclosed"
33,1988,433004,106269,"Enclosed"
33,1996,433004,106269,"Enclosed"
33,2014,433004,106269,"Enclosed"
34,1954,433005,106252,"Enclosed"
34,1956,433005,106252,"Enclosed"
34,1958,433005,106252,"Enclosed"
34,1959,433005,106252,"Enclosed"
34,1964,433005,106252,"Enclosed"
34,1984,433005,106252,"Enclosed"
34,1988,433005,106252,"Enclosed"
34,1996,433005,106252,"Enclosed"
34,2014,433005,106252,"Enclosed"
35,1954,433001,106234,"Enclosed"
35,1956,433001,106234,"Enclosed"
35,1958,433001,106234,"Enclosed"
35,1959,433001,106234,"Enclosed"
35,1964,433001,106234,"Enclosed"
35,1984,433001,106234,"Enclosed"
35,1988,433001,106234,"Enclosed"
35,1996,433001,106234,"Enclosed"
35,2014,433001,106234,"Enclosed"
36,1954,432996,106215,"Enclosed"
36,1956,432996,106215,"Enclosed"
36,1958,432996,106215,"Enclosed"
36,1959,432996,106215,"Enclosed"
36,1964,432996,106215,"Enclosed"
36,1984,432996,106215,"Enclosed"
36,1988,432996,106215,"Enclosed"
36,1996,432996,106215,"Enclosed"
36,2014,432996,106215,"Enclosed"
37,1954,433001,106188,"Enclosed"
37,1956,433001,106188,"Enclosed"
37,1958,433001,106188,"Enclosed"
37,1959,433001,106188,"Enclosed"
37,1964,433001,106188,"Enclosed"
37,1984,433001,106188,"Enclosed"
37,1988,433001,106188,"Enclosed"
37,1996,433001,106188,"Enclosed"
37,2014,433001,106188,"Enclosed"
38,1954,433001,106178,"Enclosed"
38,1956,433001,106178,"Enclosed"
38,1958,433001,106178,"Enclosed"
38,1959,433001,106178,"Enclosed"
38,1964,433001,106178,"Enclosed"
38,1984,433001,106178,"Enclosed"
38,1988,433001,106178,"Enclosed"
38,1996,433001,106178,"Enclosed"
38,2014,433001,106178,"Enclosed"
39,1954,432994,106150,"Enclosed"
39,1956,432994,106150,"Enclosed"
39,1958,432994,106150,"Enclosed"
39,1959,432994,106150,"Enclosed"
39,1964,432994,106150,"Enclosed"
39,1984,432994,106150,"Enclosed"
39,1988,432994,106150,"Enclosed"
39,1996,432994,106150,"Enclosed"
39,2014,432994,106150,"Enclosed"
40,1954,432991,106125,"Enclosed"
40,1956,432991,106125,"Enclosed"
40,1958,432991,106125,"Enclosed"
40,1959,432991,106125,"Enclosed"
40,1964,432991,106125,"Enclosed"
40,1984,432991,106125,"Enclosed"
40,1988,432991,106125,"Enclosed"
40,1996,432991,106125,"Enclosed"
40,2014,432991,106125,"Enclosed"
41,1954,433000,106110,"Enclosed"
41,1956,433000,106110,"Enclosed"
41,1958,433000,106110,"Enclosed"
41,1959,433000,106110,"Enclosed"
41,1964,433000,106110,"Enclosed"
41,1984,433000,106110,"Enclosed"
41,1988,433000,106110,"Enclosed"
41,1996,433000,106110,"Enclosed"
41,2014,433000,106110,"Enclosed"
42,1954,432997,106089,"Enclosed"
42,1956,432997,106089,"Enclosed"
42,1958,432997,106089,"Enclosed"
42,1959,432997,106089,"Enclosed"
42,1964,432997,106089,"Enclosed"
42,1984,432997,106089,"Enclosed"
42,1988,432997,106089,"Enclosed"
42,1996,432997,106089,"Enclosed"
42,2014,432997,106089,"Enclosed"
43,1954,432991,106072,"Enclosed"
43,1956,432991,106072,"Enclosed"
43,1958,432991,106072,"Enclosed"
43,1959,432991,106072,"Enclosed"
43,1964,432991,106072,"Enclosed"
43,1984,432991,106072,"Enclosed"
43,1988,432991,106072,"Enclosed"
43,1996,432991,106072,"Enclosed"
43,2014,432991,106072,"Enclosed"
44,2014,432983,106046,"Enclosed"
45,2014,432983,106032,"Enclosed"
46,1954,432982,106012,"Enclosed"
46,1956,432982,106012,"Enclosed"
46,1958,432982,106012,"Enclosed"
46,1959,432982,106012,"Enclosed"
46,1964,432982,106012,"Enclosed"
46,1984,432982,106012,"Enclosed"
46,1988,432982,106012,"Enclosed"
46,1996,432982,106012,"Enclosed"
46,2014,432982,106012,"Enclosed"
47,1954,432978,105993,"Enclosed"
47,1956,432978,105993,"Enclosed"
47,1958,432978,105993,"Enclosed"
47,1959,432978,105993,"Enclosed"
47,1964,432978,105993,"Enclosed"
47,1984,432978,105993,"Enclosed"
47,1988,432978,105993,"Enclosed"
47,1996,432978,105993,"Enclosed"
47,2014,432978,105993,"Enclosed"
48,1954,432979,105971,"Enclosed"
48,1956,432979,105971,"Enclosed"
48,1958,432979,105971,"Enclosed"
48,1959,432979,105971,"Enclosed"
48,1964,432979,105971,"Enclosed"
48,1984,432979,105971,"Enclosed"
48,1988,432979,105971,"Enclosed"
48,1996,432979,105971,"Enclosed"
48,2014,432979,105971,"Enclosed"
49,1954,432979,105954,"Enclosed"
49,1956,432979,105954,"Enclosed"
49,1958,432979,105954,"Enclosed"
49,1959,432979,105954,"Enclosed"
49,1964,432979,105954,"Enclosed"
49,1984,432979,105954,"Enclosed"
49,1988,432979,105954,"Enclosed"
49,1996,432979,105954,"Enclosed"
49,2014,432979,105954,"Enclosed"
50,1954,432973,105929,"Enclosed"
50,1956,432973,105929,"Enclosed"
50,1958,432973,105929,"Enclosed"
50,1959,432973,105929,"Enclosed"
50,1964,432973,105929,"Enclosed"
50,1984,432973,105929,"Enclosed"
50,1988,432973,105929,"Enclosed"
50,1996,432973,105929,"Enclosed"
50,2014,432973,105929,"Enclosed"
51,NA,432970,105913,"Enclosed"
52,1959,433091,105975,"Unenclosed"
52,1964,433091,105975,"Unenclosed"
52,1999,433091,105975,"Unenclosed"
53,1959,433113,105976,"Unenclosed"
53,1964,433113,105976,"Unenclosed"
53,1999,433113,105976,"Unenclosed"
54,1959,433133,105972,"Unenclosed"
54,1964,433133,105972,"Unenclosed"
54,1999,433133,105972,"Unenclosed"
55,1959,433154,105964,"Unenclosed"
55,1964,433154,105964,"Unenclosed"
55,1999,433154,105964,"Unenclosed"
56,1959,433174,105960,"Unenclosed"
56,1964,433174,105960,"Unenclosed"
56,1999,433174,105960,"Unenclosed"
57,1959,433191,105960,"Unenclosed"
57,1964,433191,105960,"Unenclosed"
57,1999,433191,105960,"Unenclosed"
58,1959,433212,105950,"Unenclosed"
58,1964,433212,105950,"Unenclosed"
58,1999,433212,105950,"Unenclosed"
60,1959,433249,105939,"Unenclosed"
60,1964,433249,105939,"Unenclosed"
60,1999,433249,105939,"Unenclosed"
61,1959,433264,105935,"Unenclosed"
61,1964,433264,105935,"Unenclosed"
61,1999,433264,105935,"Unenclosed"
62,1959,433286,105928,"Unenclosed"
62,1964,433286,105928,"Unenclosed"
62,1999,433286,105928,"Unenclosed"
63,1959,433305,105923,"Unenclosed"
63,1964,433305,105923,"Unenclosed"
63,1999,433305,105923,"Unenclosed"
64,1959,433326,105916,"Unenclosed"
64,1964,433326,105916,"Unenclosed"
64,1999,433326,105916,"Unenclosed"
65,1959,433343,105914,"Unenclosed"
65,1964,433343,105914,"Unenclosed"
65,1999,433343,105914,"Unenclosed"
66,1959,433363,105906,"Unenclosed"
66,1964,433363,105906,"Unenclosed"
66,1999,433363,105906,"Unenclosed"
67,1959,433383,105902,"Unenclosed"
67,1964,433383,105902,"Unenclosed"
67,1999,433383,105902,"Unenclosed"
68,NA,433398,105898,"Unenclosed"
