Block,Year,Agrostis spp.,Anemone nemorosa,Anthoxanthum odoratum,Athyrium filix-femina,Betula pubescens,Blechnum spicant,Brachypodium sylvaticum,Calluna vulgaris,Cardamine flexuosa,Carex demissa,Carex pilulifera,Carex remota,Carex sylvatica,Cerastium vulgatum,Circaea lutetiana,Cirsium vulgare,Dactylis glomerata,Deschampsia cespitosa,Deschampsia flexuosa,Digitalis purpurea,Dryopteris austriaca,Dryopteris filix-mas,Dryopteris spinulosa,Endymion nonscriptus,Epilibium montanum,Epilobium parviflorum,Euphorbia amygdaliodes,Fagus sylvatica,Festuca ovina,Frangula alnus,Fraxinus excelsior,Galium palustre,Galium saxatile,Geum urbanum,Glyceria sp.,Hedera helix,Holcus mollis,Hypericum androsaemum,Ilex aquifolium,Juncus buffonius,Juncus effusus,Lonicera periclymenum,Lotus corniculatus,Luzula campestris,Luzula multiflora,Luzula pilosa,Lysimachia nemorum,Malus sylvestris,Molinia caerulea,Oxalis acetosella,Poa annua,Poa trivialis,Polypodium vulgare,Potentilla erecta,Pteridium aquilinum,Quercus petraea,Ranunculus flammula,Ranunculus repens,Rosa canina,Rubus fruticosus,Ruscus aculeatus,Salix cinerea,Scutellaria minor,Senecio sylvatica,Sorbus aucuparia,Stellaria alsine,Veronica chamaedrys,Veronica officinalis,Viola riviniana,Lotus pedunculatus,Melampyrum pratense,Montia fontanum,Polypodium interjectum,Ranunculus sarduous,Rosa arvensis,Taraxacum officinalis agg.,Vaccinium myrtillus 
1,2001,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,90,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,
2,2001,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,80,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,
3,2001,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,1,,,,,,90,,,1,,,,,,,,,1,,,,,1,,,1,,,,,,,,
4,2001,10,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,1,,,,1,,,,,,,,1,,,,,60,,,1,,,,,,,,,1,,,,,1,,,,,,,,,,,
5,2001,70,,,1,,1,,1,,,1,,,,,,,,,1,,,,,,1,,,,,,1,,,,5,1,,,,,,,1,,,,,,,,1,,,,,1,,1,,1,,,1,,1,,,,,,,,,,,
6,2001,20,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,,,,1,,,,,,,,,1,,,1,,1,,,1,,,,,,,,
7,2001,70,,,,,,,1,,1,,,,,,,,1,1,,,1,,,1,,,1,1,,,,,,,15,,,,,,,15,1,,,,,,,1,1,,,,1,,,,,1,,,,,,1,,,,,,,,,,
8,2001,30,,,,,,,,,1,,,,,,,,,1,,,,1,,,,,,,,,,,,,10,,,,,,,20,1,,,,,,,,1,,,,,,,,,1,,,,,1,,,,,,,,,,,
9,2001,15,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,10,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,
10,2001,25,,,,,,,,,1,,,,,,,,,1,1,,,,1,,,,,,,,,,,,5,,,,,,,60,1,,,,,,,,1,,,,,,,1,,1,,,,,,,,,,,,,,,,
11,2001,15,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,1,,,,,,,5,1,,,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,
12,2001,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,
13,2001,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,1,,1,,,,,,,,,,,
14,2001,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,1,,,,,,,,,,,
15,2001,25,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,10,,,,,,,,,1,,,,,,,,,1,,,1,,,,,,,,,,,,,
16,2001,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
17,2001,30,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,5,,,,,,,,,1,,,,,,,,,1,,,1,,,,1,,,,,,,,,
18,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
19,2001,10,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,1,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,
20,2001,10,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,
21,2001,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,1,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,
22,2001,30,,,1,,,,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,5,,,,,,,1,1,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
23,2001,5,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,1,1,,,,,,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,
24,2001,10,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,,,,,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,
25,2001,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,
26,2001,30,,,,,,,1,,,1,,,,,,,,,,,,,,,,,1,1,,1,,,,,1,,,,1,,1,1,1,,,,,,1,1,,,1,,1,1,,,,1,,1,,,,,,,,,,,,,,
27,2001,5,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,,1,,,,,1,,,,1,,1,,1,,,,,,1,,1,,1,,,,,1,,1,,1,,,,,,,,,,,,,,
28,2001,75,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,1,10,,,1,,,,,,1,,,1,,1,1,,1,,,,,,,,,,,
29,2001,40,,,,,,,,,5,,,,,,,,,1,,,,,,,,,,,,,,,,,5,,,1,1,,,1,1,,,,1,,,,1,,,,,,1,,,1,,1,1,,1,,1,,,,,,,,,
30,2001,75,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,1,,,,,,,5,,,1,1,,,1,1,1,,,1,,,,1,,,1,1,1,1,,,1,,,,,,,,,,,,,,,,
31,2001,80,,,1,,,,,,1,,,,,,,,,1,1,1,,,,,1,,,1,,,,,,,1,,,1,,,,1,1,,,,,,,,1,,,1,,1,,1,,1,,,1,1,1,,,,,,,,,,,
32,2001,75,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,1,,,,1,,,,,,,1,1,,,,,,,,1,,,,,,,1,,1,,,,,,,,,,,,,,,,
33,2001,50,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,1,,,1,,,,1,1,,,,1,,,,1,,,,,1,,,,1,,,1,,,,,,,,,,,,,
34,2001,80,,,1,,,,,,1,,,,,,,,,1,1,,,,,,,,,1,,,1,,,,1,,,1,,,,1,1,,,,1,,,,1,,,,,,1,,,1,,,1,,,,,,,,,,,,,
35,2001,75,,,,,,,,,1,,,,,1,,,,1,,,,,,,,,,,,,1,,,,10,,,1,,,,1,1,,,,1,,,,1,,,,,,,,,1,,,1,,,,,,,,,,,,,
36,2001,60,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,1,,,,1,1,,,,1,10,,,1,,,,,,,,,1,,,1,,,,,,,,,,,,,
37,2001,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,
38,2001,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,
39,2001,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,,,,,,,,,,,,1,,,1,,1,,, ,,,,,,,,
40,2001,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,1,,,5,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,
41,2001,20,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,,1,1,,,,,30,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,
42,2001,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,1,,,,,,,1,,,,,,1,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,
43,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,20,,,,,,,,,,,,1,1,,1,,1,,,,,,,,,,,
44,2001,30,,1,,,,1,,1,1,,,,,,,,,,,,,,,,,1,,,,,,,,1,5,,1,,,,,50,,,,,1,1,1,,1,,,,,,,,1,1,,,,,1,,,,,,,,,,,
45,2001,5,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,25,,,,,,,5,,,,,1,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,
46,2001,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
47,2001,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
48,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,
49,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
50,2001,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
1,1964,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,1,,,,,,50,,,,,,,,,,,,,,,,,,,,,,
2,1964,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,
3,1964,1,,,,,,,,,,1,,1,,,,,,,,,,,1,,,1,,,,,,,,,,1,,,,,1,,,,,,,,1,,,,,10,,,,,,,,,,,,1,,,,,,,,,,
4,1964,,,,,,,,,,,1,,1,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,1,,,,,,,,1,,,,,1,,,,,1,,,,,,,,,,,,,,,,,
5,1964,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,60,,,,,,,,,,1,,,,,,,1,,,,,,,,,,
6,1964,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1964,5,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
9,1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
10,1964,1,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,1,1,,1,,,,,,,,1,,,,,,,1,,,,,,,,,,
11,1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
15,1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1964,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,1,,,,1,,,,,1,,,,,1,,,,,,,,,,,,,,,,,
20,1964,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,1,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,
21,1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,40,,,,,,,,,,1,,,,,,,,,,,,,,,,,
22,1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,
23,1964,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,1,,,,,1,,,,1,,,1,,,,,,,1,,,,,,,1,,,,,,,,,,
24,1964,,,,1,,,,,,,,,,,,,,,,1,,,1,,,1,1,,,,,,,,,1,,1,,,1,,,,,,,,,1,,,1,,,,,,,1,1,,,,,,1,,,,,,,,,,
25,1964,1,,,,,,,,,,1,,,,,,,1,,,,1,,,,,1,,,,,,,,,1,,,,,1,1,,,,,,,,1,,,,,1,,,,,1,,,,,,,1,,,,,,,,,,
27,1964,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1964,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1964,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,1,,,,,,,,,,,,1,,,,,1,,,,,1,,,,,,,,,,,,,,,,,
32,1964,1,,,,,,,,,,1,,1,,,,,,,,,,,,,,1,,,,,,,,,1,,1,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,1,,,,,,,,
33,1964,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
34,1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,
39,1964,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,
40,1964,1,,,,,,,,,,1,,,,,,1,1,,,,1,,,,,1,,,,,,,,,1,,,,,,1,,,,,,,,1,,,,,1,,,,,1,,,,,,,1,,,,,,,,,,
41,1964,1,,1,,,,,,,,1,,,,,,,1,,,,1,,,,,,,1,,,,,,,1,1,,,,,1,,,,,,,,1,,,,,1,,,,,1,1,,,,,,1,,,,,,,,,,
42,1964,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
43,1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,1964,1,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,1,1,,,,,,,,,,,,,,,,
50,1964,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
1,2014,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,90,,,,,,,,,,,,,,,,,,,,,,
2,2014,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,1,,,,,,,,,,,,,,,,,
3,2014,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,90,,,,,1,,,,,,,,,,,,,,,,,
4,2014,30,,1,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,60,,,,,1,,,,,,,,,1,,,,,,,,
5,2014,60,,1,,,,,,1,,1,15,,,,,,,,1,1,,,,,,1,,,,,,,,,,,,,,15,,,,1,,,,,,,,,,,,,,,1,,,,,,1,,,1,,,,,,,,
6,2014,30,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,1,,,,1,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,
7,2014,50,,15,,,,,1,,,,1,,1,,1,,,,1,1,,,,,,,,,,,1,1,,,1,1,,,,15,1,,,1,,,,30,1,,,,1,,,,,,2,,,,,,1,1,,,,,,,,1,,
8,2014,10,,10,,,,,,,,1,,,1,,1,,,,1,1,,,,,,,,,,,1,,,,1,,,,,1,,,,1,,,,75,1,,,,1,,,,,,1,,,,,,,,,,,,,,,,,
9,2014,10,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2014,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2014,5,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,5,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,
12,2014,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2014,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
14,2014,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
15,2014,20,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,30,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,1
16,2014,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2014,10,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2014,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2014,15,,,,,,,,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
20,2014,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2014,1,,,,,,,,1,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,1,,,,,
22,2014,25,,,1,,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,5,,,,,,,,,,1,,,,,,,,,,,,,,,,,
23,2014,10,,,1,,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,1,1,,,,,,,,1,5,,,,,,,,,,,1,,,,,,,,,,,,,,,,
24,2014,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,1,,,,
25,2014,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2014,10,,,,,,,,1,1,,10,,,,,,,,1,,,,,,,,,,,,1,,,,1,,,,1,1,,,,,,1,,1,1,,,,,1,,1,1,,1,,,,,,1,,,1,,,,,,,,
27,2014,15,,,,,,,,,1,,1,,,,,,,,1,1,,,,,,,,,,,1,,,,,,,,1,1,,,,,,1,,1,10,,,,,60,,1,1,,1,,,,,,1,,,1,,,,,,,,
28,2014,5,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,1,,,,,1,,,,,,,,1,2,,,,1,50,,,,,1,,,,,,,,,,,,,,,,,
29,2014,1,,,,,,,1,,,,,,1,,1,,,,1,1,,,,,,,,,,,,1,,,1,,,,,1,,,,1,,1,,1,1,,,,1,2,,,,,1,,,,,,1,,,,,,,,,,,
30,2014,50,,,,,,,,,,,,,1,,1,,,,1,,,,,,,,,,,,,1,,,1,,,,,1,1,,,1,,,,50,1,,,,1,,,,1,,1,,,,,,,1,1,,,,,,,,,
31,2014,75,,,,,,,,,1,,,,,,1,,,,1,1,1,,,,,1,,,,,,1,,,1,,,,,1,,,,,,,,1,1,,,,,,,,,,1,,,,,,,,,1,,,,,,,,
32,2014,80,,1,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,1,,,1,1,,,,1,,,,1,,,,1,1,,,,,1,,,,,1,,,,,,,,1,1,,,,,,,,
33,2014,40,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,1,,,,,1,,,1,,,,,1,1,,,,1,,,,,,1,,,,,,,1,1,,,,,,,,,
34,2014,75,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,1,,,1,,,,,1,,,,1,,,,25,1,,,,1,,,,,,1,,,,,,,,1,1,,,,,,,,
35,2014,70,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,1,,,,,,,,30,,,,,,,,1,2,,,,1,1,,,,,1,,,,,,1,,1,,,,,,1,,,
36,2014,50,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,1,,,,,1,,,,,,,,1,2,,,,,50,,,,,,,,,,,,,1,,,,,,,,,
37,2014,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,2014,10,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,
39,2014,25,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,
40,2014,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,
41,2014,10,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,5,1,,,,1,50,,,,,,,,,,,,,,,,1,,,,,,
42,2014,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
43,2014,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,10,,,,,,25,,,,,,,,,,,,,,,,,,,,,,
44,2014,30,,1,,,1,,,,1,,,,,,1,,1,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,75,,,,,1,2,,1,,,1,,,,,,,,,,1,1,,,,,,1
45,2014,5,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,
46,2014,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2014,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2014,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
49,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2014,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
