"","Block","Year","BA","Transect","Northing","Easting","Year2"
"1",1,1959,26.2931670151381,"Enclosed",106909,433056,-25.2441860465117
"2",1,2014,26.8313856205043,"Enclosed",106909,433056,29.7558139534883
"3",1,1964,26.9018505917711,"Enclosed",106909,433056,-20.2441860465117
"4",1,1988,26.8299081200039,"Enclosed",106909,433056,3.75581395348831
"5",1,1984,29.192758859631,"Enclosed",106909,433056,-0.244186046511686
"6",1,1996,26.847501038864,"Enclosed",106909,433056,11.7558139534883
"7",2,2014,46.0154847347361,"Enclosed",106885,433058,29.7558139534883
"8",2,1959,31.7713192048353,"Enclosed",106885,433058,-25.2441860465117
"9",2,1988,44.6795147348591,"Enclosed",106885,433058,3.75581395348831
"10",2,1996,41.82565269843,"Enclosed",106885,433058,11.7558139534883
"11",2,1964,35.3036474447153,"Enclosed",106885,433058,-20.2441860465117
"12",2,1984,43.5380759490395,"Enclosed",106885,433058,-0.244186046511686
"13",3,1988,65.9041539724199,"Enclosed",106868,433049,3.75581395348831
"14",3,2014,47.1879504978821,"Enclosed",106868,433049,29.7558139534883
"15",3,1964,65.5395132401086,"Enclosed",106868,433049,-20.2441860465117
"16",3,1996,43.5856318078332,"Enclosed",106868,433049,11.7558139534883
"17",3,1959,55.1864928249738,"Enclosed",106868,433049,-25.2441860465117
"18",3,1984,66.521869627932,"Enclosed",106868,433049,-0.244186046511686
"19",4,1959,67.9251601614283,"Enclosed",106848,433053,-25.2441860465117
"20",4,1988,68.9000159967913,"Enclosed",106848,433053,3.75581395348831
"21",4,1996,67.760717420967,"Enclosed",106848,433053,11.7558139534883
"22",4,1964,73.1873278561912,"Enclosed",106848,433053,-20.2441860465117
"23",4,2014,50.6307693602236,"Enclosed",106848,433053,29.7558139534883
"24",4,1984,74.8615807560596,"Enclosed",106848,433053,-0.244186046511686
"25",5,1996,17.4806461926452,"Enclosed",106828,433045,11.7558139534883
"26",5,1984,41.1730260945549,"Enclosed",106828,433045,-0.244186046511686
"27",5,1964,36.6761307352523,"Enclosed",106828,433045,-20.2441860465117
"28",5,1988,40.9907744507385,"Enclosed",106828,433045,3.75581395348831
"29",5,1959,33.7984907694263,"Enclosed",106828,433045,-25.2441860465117
"30",5,2014,16.7247989051882,"Enclosed",106828,433045,29.7558139534883
"31",6,1984,49.5932012645226,"Enclosed",106804,433046,-0.244186046511686
"32",6,1959,51.1235299509484,"Enclosed",106804,433046,-25.2441860465117
"33",6,1988,41.9374933968978,"Enclosed",106804,433046,3.75581395348831
"34",6,2014,47.6725278787995,"Enclosed",106804,433046,29.7558139534883
"35",6,1996,43.6863394873349,"Enclosed",106804,433046,11.7558139534883
"36",6,1964,55.3882419781965,"Enclosed",106804,433046,-20.2441860465117
"37",7,1984,40.8396442091467,"Enclosed",106786,433045,-0.244186046511686
"38",7,1988,21.4190841878639,"Enclosed",106786,433045,3.75581395348831
"39",7,1959,43.0893976132446,"Enclosed",106786,433045,-25.2441860465117
"40",7,2014,7.28790426214327,"Enclosed",106786,433045,29.7558139534883
"41",7,1996,17.3750690445305,"Enclosed",106786,433045,11.7558139534883
"42",7,1964,45.9850624669206,"Enclosed",106786,433045,-20.2441860465117
"43",8,1959,60.8133797918644,"Enclosed",106773,433044,-25.2441860465117
"44",8,2014,41.0859435627381,"Enclosed",106773,433044,29.7558139534883
"45",8,1996,35.5972096432392,"Enclosed",106773,433044,11.7558139534883
"46",8,1964,61.5909239736279,"Enclosed",106773,433044,-20.2441860465117
"47",8,1988,59.3273868317624,"Enclosed",106773,433044,3.75581395348831
"48",8,1984,67.3924049522417,"Enclosed",106773,433044,-0.244186046511686
"49",9,2014,44.8632931946307,"Enclosed",106752,433047,29.7558139534883
"50",9,1996,37.4860136863937,"Enclosed",106752,433047,11.7558139534883
"51",9,1964,36.3933873964293,"Enclosed",106752,433047,-20.2441860465117
"52",9,1959,31.6050062349973,"Enclosed",106752,433047,-25.2441860465117
"53",9,1984,39.4515511301122,"Enclosed",106752,433047,-0.244186046511686
"54",9,1988,36.2147485841645,"Enclosed",106752,433047,3.75581395348831
"55",10,1984,18.615212744535,"Enclosed",106730,433046,-0.244186046511686
"56",10,2014,20.8843103674815,"Enclosed",106730,433046,29.7558139534883
"57",10,1988,18.7805194229761,"Enclosed",106730,433046,3.75581395348831
"58",10,1996,19.3610268404973,"Enclosed",106730,433046,11.7558139534883
"59",10,1959,44.3102008834755,"Enclosed",106730,433046,-25.2441860465117
"60",10,1964,32.4958490105694,"Enclosed",106730,433046,-20.2441860465117
"61",11,1988,48.7618965784745,"Enclosed",106707,433044,3.75581395348831
"62",11,1959,44.2795016327637,"Enclosed",106707,433044,-25.2441860465117
"63",11,2014,42.4261091408063,"Enclosed",106707,433044,29.7558139534883
"64",11,1964,49.0068819005923,"Enclosed",106707,433044,-20.2441860465117
"65",11,1996,41.9437569472509,"Enclosed",106707,433044,11.7558139534883
"66",11,1984,52.0492394962368,"Enclosed",106707,433044,-0.244186046511686
"67",12,1988,45.6804457892469,"Enclosed",106687,433042,3.75581395348831
"68",12,1964,51.6752721607351,"Enclosed",106687,433042,-20.2441860465117
"69",12,2014,61.3323471677496,"Enclosed",106687,433042,29.7558139534883
"70",12,1996,52.3840940032013,"Enclosed",106687,433042,11.7558139534883
"71",12,1984,47.8943064972775,"Enclosed",106687,433042,-0.244186046511686
"72",12,1959,44.825127554353,"Enclosed",106687,433042,-25.2441860465117
"73",13,1996,46.0879299913716,"Enclosed",106666,433035,11.7558139534883
"74",13,1964,43.5493464126843,"Enclosed",106666,433035,-20.2441860465117
"75",13,1984,47.0698740451592,"Enclosed",106666,433035,-0.244186046511686
"76",13,2014,46.0966929778382,"Enclosed",106666,433035,29.7558139534883
"77",13,1988,43.7009086232659,"Enclosed",106666,433035,3.75581395348831
"78",13,1959,58.520508028596,"Enclosed",106666,433035,-25.2441860465117
"79",14,1984,44.3256143224322,"Enclosed",106647,433038,-0.244186046511686
"80",14,1988,43.8864785743226,"Enclosed",106647,433038,3.75581395348831
"81",14,1964,45.020004473646,"Enclosed",106647,433038,-20.2441860465117
"82",14,1996,43.2430411289593,"Enclosed",106647,433038,11.7558139534883
"83",14,1959,48.5528235873781,"Enclosed",106647,433038,-25.2441860465117
"84",14,2014,51.5652546832008,"Enclosed",106647,433038,29.7558139534883
"85",15,1959,60.3563762355375,"Enclosed",106624,433036,-25.2441860465117
"86",15,1964,63.1975540916278,"Enclosed",106624,433036,-20.2441860465117
"87",15,2014,59.6179007991768,"Enclosed",106624,433036,29.7558139534883
"88",15,1988,58.3484861958579,"Enclosed",106624,433036,3.75581395348831
"89",15,1996,61.3025257680284,"Enclosed",106624,433036,11.7558139534883
"90",15,1984,63.1336815859895,"Enclosed",106624,433036,-0.244186046511686
"91",16,2014,23.4973379799309,"Enclosed",106602,433034,29.7558139534883
"92",16,1984,15.6011883876351,"Enclosed",106602,433034,-0.244186046511686
"93",16,1959,40.5820139765983,"Enclosed",106602,433034,-25.2441860465117
"94",16,1996,19.5108808100735,"Enclosed",106602,433034,11.7558139534883
"95",16,1964,46.1573591890159,"Enclosed",106602,433034,-20.2441860465117
"96",16,1988,16.7935013394887,"Enclosed",106602,433034,3.75581395348831
"97",17,2014,33.952246884439,"Enclosed",106585,433028,29.7558139534883
"98",17,1996,29.6138893548447,"Enclosed",106585,433028,11.7558139534883
"99",17,1984,52.0041380067037,"Enclosed",106585,433028,-0.244186046511686
"100",17,1964,55.270923127539,"Enclosed",106585,433028,-20.2441860465117
"101",17,1988,51.4848523760194,"Enclosed",106585,433028,3.75581395348831
"102",17,1959,51.241339675458,"Enclosed",106585,433028,-25.2441860465117
"103",18,1984,42.770938292941,"Enclosed",106571,433031,-0.244186046511686
"104",18,1996,42.5703279670553,"Enclosed",106571,433031,11.7558139534883
"105",18,1964,46.3051122185051,"Enclosed",106571,433031,-20.2441860465117
"106",18,1988,38.4551164802098,"Enclosed",106571,433031,3.75581395348831
"107",18,1959,44.9915337902228,"Enclosed",106571,433031,-25.2441860465117
"108",18,2014,46.3024019826421,"Enclosed",106571,433031,29.7558139534883
"109",19,1996,51.8125008548347,"Enclosed",106550,433024,11.7558139534883
"110",19,1988,36.9004993555809,"Enclosed",106550,433024,3.75581395348831
"111",19,1984,36.9488995174003,"Enclosed",106550,433024,-0.244186046511686
"112",19,1964,34.7843029091687,"Enclosed",106550,433024,-20.2441860465117
"113",19,2014,60.2444275631224,"Enclosed",106550,433024,29.7558139534883
"114",19,1959,30.1201422847552,"Enclosed",106550,433024,-25.2441860465117
"115",20,1996,41.7698697938747,"Enclosed",106531,433028,11.7558139534883
"116",20,1988,37.6830111807279,"Enclosed",106531,433028,3.75581395348831
"117",20,1984,35.728940550195,"Enclosed",106531,433028,-0.244186046511686
"118",20,1964,31.3982550772215,"Enclosed",106531,433028,-20.2441860465117
"119",20,2014,46.2995618113158,"Enclosed",106531,433028,29.7558139534883
"120",20,1959,30.3733104739878,"Enclosed",106531,433028,-25.2441860465117
"121",21,1988,75.1990270769634,"Enclosed",106506,433029,3.75581395348831
"122",21,1996,87.9158603444754,"Enclosed",106506,433029,11.7558139534883
"123",21,1984,76.8005717418553,"Enclosed",106506,433029,-0.244186046511686
"124",21,2014,94.0965147111611,"Enclosed",106506,433029,29.7558139534883
"125",21,1959,76.5710440373409,"Enclosed",106506,433029,-25.2441860465117
"126",21,1964,73.8873139693192,"Enclosed",106506,433029,-20.2441860465117
"127",22,1988,30.792477473793,"Enclosed",106486,433024,3.75581395348831
"128",22,1984,29.7321506832983,"Enclosed",106486,433024,-0.244186046511686
"129",22,2014,33.1504829877998,"Enclosed",106486,433024,29.7558139534883
"130",22,1959,40.0179999205085,"Enclosed",106486,433024,-25.2441860465117
"131",22,1996,28.8753009219858,"Enclosed",106486,433024,11.7558139534883
"132",22,1964,43.5665269975086,"Enclosed",106486,433024,-20.2441860465117
"133",23,1959,34.3354429500486,"Enclosed",106473,433024,-25.2441860465117
"134",23,1996,52.4557419506572,"Enclosed",106473,433024,11.7558139534883
"135",23,1964,36.5558666414821,"Enclosed",106473,433024,-20.2441860465117
"136",23,1988,50.7569453581826,"Enclosed",106473,433024,3.75581395348831
"137",23,2014,53.7972503693431,"Enclosed",106473,433024,29.7558139534883
"138",23,1984,48.4218388086775,"Enclosed",106473,433024,-0.244186046511686
"139",24,1996,56.5334506752004,"Enclosed",106451,433021,11.7558139534883
"140",24,1984,54.509204718768,"Enclosed",106451,433021,-0.244186046511686
"141",24,1988,54.5357119067827,"Enclosed",106451,433021,3.75581395348831
"142",24,2014,41.9474648551646,"Enclosed",106451,433021,29.7558139534883
"143",24,1959,52.4285180868185,"Enclosed",106451,433021,-25.2441860465117
"144",24,1964,53.277975287918,"Enclosed",106451,433021,-20.2441860465117
"145",25,1996,63.5450927789312,"Enclosed",106430,433013,11.7558139534883
"146",25,1988,59.2959512702724,"Enclosed",106430,433013,3.75581395348831
"147",25,2014,69.1917160436036,"Enclosed",106430,433013,29.7558139534883
"148",25,1959,55.1199406119243,"Enclosed",106430,433013,-25.2441860465117
"149",25,1984,59.85808037077,"Enclosed",106430,433013,-0.244186046511686
"150",26,1959,38.3765177590078,"Enclosed",106404,433020,-25.2441860465117
"151",26,1996,45.2673067203458,"Enclosed",106404,433020,11.7558139534883
"152",26,2014,49.7758051136705,"Enclosed",106404,433020,29.7558139534883
"153",27,1988,31.6616579862709,"Enclosed",106384,433009,3.75581395348831
"154",27,1996,31.6564743583925,"Enclosed",106384,433009,11.7558139534883
"155",27,1984,31.5322440038971,"Enclosed",106384,433009,-0.244186046511686
"156",27,1959,50.8089354288357,"Enclosed",106384,433009,-25.2441860465117
"157",27,1964,51.8780030616621,"Enclosed",106384,433009,-20.2441860465117
"158",27,2014,32.5927447977476,"Enclosed",106384,433009,29.7558139534883
"159",28,1988,71.3914560507207,"Enclosed",106367,433016,3.75581395348831
"160",28,1984,70.3379818592016,"Enclosed",106367,433016,-0.244186046511686
"161",28,1959,61.7811572262798,"Enclosed",106367,433016,-25.2441860465117
"162",28,1964,62.9746973627638,"Enclosed",106367,433016,-20.2441860465117
"163",28,1996,78.5533448231094,"Enclosed",106367,433016,11.7558139534883
"164",28,2014,80.1108393421594,"Enclosed",106367,433016,29.7558139534883
"165",29,1984,31.1643438692076,"Enclosed",106349,433018,-0.244186046511686
"166",29,1964,39.0676681427976,"Enclosed",106349,433018,-20.2441860465117
"167",29,1959,38.094542910471,"Enclosed",106349,433018,-25.2441860465117
"168",29,2014,38.0451436367363,"Enclosed",106349,433018,29.7558139534883
"169",29,1988,29.4295956758035,"Enclosed",106349,433018,3.75581395348831
"170",29,1996,34.8204704945932,"Enclosed",106349,433018,11.7558139534883
"171",30,1964,52.9265096097977,"Enclosed",106333,433009,-20.2441860465117
"172",30,1996,11.2259512038428,"Enclosed",106333,433009,11.7558139534883
"173",30,2014,14.0847546774251,"Enclosed",106333,433009,29.7558139534883
"174",30,1984,54.9478692279796,"Enclosed",106333,433009,-0.244186046511686
"175",30,1988,54.4854856942334,"Enclosed",106333,433009,3.75581395348831
"176",30,1959,52.5282047487077,"Enclosed",106333,433009,-25.2441860465117
"177",31,1996,4.04721564084931,"Enclosed",106309,433012,11.7558139534883
"178",31,1988,40.8357172183297,"Enclosed",106309,433012,3.75581395348831
"179",31,1984,59.2436830224983,"Enclosed",106309,433012,-0.244186046511686
"180",31,1964,53.0757352608432,"Enclosed",106309,433012,-20.2441860465117
"181",31,2014,18.3679212079487,"Enclosed",106309,433012,29.7558139534883
"182",31,1959,48.5052773846185,"Enclosed",106309,433012,-25.2441860465117
"183",32,1996,34.3040908371135,"Enclosed",106291,433008,11.7558139534883
"184",32,1964,36.4125314766621,"Enclosed",106291,433008,-20.2441860465117
"185",32,1959,33.9553544176109,"Enclosed",106291,433008,-25.2441860465117
"186",32,1988,45.0938515359594,"Enclosed",106291,433008,3.75581395348831
"187",32,1984,43.7065634900423,"Enclosed",106291,433008,-0.244186046511686
"188",32,2014,28.5859687510056,"Enclosed",106291,433008,29.7558139534883
"189",33,1996,63.5486270706665,"Enclosed",106269,433004,11.7558139534883
"190",33,1964,88.6218743885075,"Enclosed",106269,433004,-20.2441860465117
"191",33,1984,76.7914807581139,"Enclosed",106269,433004,-0.244186046511686
"192",33,1959,83.312348803287,"Enclosed",106269,433004,-25.2441860465117
"193",33,2014,65.3683686686985,"Enclosed",106269,433004,29.7558139534883
"194",33,1988,60.2711998047171,"Enclosed",106269,433004,3.75581395348831
"195",34,1959,36.5769742171234,"Enclosed",106252,433005,-25.2441860465117
"196",34,1984,37.5568958706403,"Enclosed",106252,433005,-0.244186046511686
"197",34,1988,34.2730283397511,"Enclosed",106252,433005,3.75581395348831
"198",34,2014,10.0637144406116,"Enclosed",106252,433005,29.7558139534883
"199",34,1964,41.2299674614012,"Enclosed",106252,433005,-20.2441860465117
"200",34,1996,34.6019138206738,"Enclosed",106252,433005,11.7558139534883
"201",35,1984,105.747520611297,"Enclosed",106234,433001,-0.244186046511686
"202",35,2014,56.1151732507255,"Enclosed",106234,433001,29.7558139534883
"203",35,1964,103.586654644342,"Enclosed",106234,433001,-20.2441860465117
"204",35,1996,89.8702844041818,"Enclosed",106234,433001,11.7558139534883
"205",35,1959,98.5243953258559,"Enclosed",106234,433001,-25.2441860465117
"206",35,1988,109.008002911871,"Enclosed",106234,433001,3.75581395348831
"207",36,1964,39.542834031653,"Enclosed",106215,432996,-20.2441860465117
"208",36,2014,27.1616316885886,"Enclosed",106215,432996,29.7558139534883
"209",36,1984,40.0973447699657,"Enclosed",106215,432996,-0.244186046511686
"210",36,1988,41.6848504426869,"Enclosed",106215,432996,3.75581395348831
"211",36,1959,37.4654558894668,"Enclosed",106215,432996,-25.2441860465117
"212",36,1996,41.3518612563605,"Enclosed",106215,432996,11.7558139534883
"213",37,1964,31.8282605716816,"Enclosed",106188,433001,-20.2441860465117
"214",37,1984,29.2466371736401,"Enclosed",106188,433001,-0.244186046511686
"215",37,2014,39.7372578851829,"Enclosed",106188,433001,29.7558139534883
"216",37,1988,30.0712856102533,"Enclosed",106188,433001,3.75581395348831
"217",37,1996,33.649540007738,"Enclosed",106188,433001,11.7558139534883
"218",37,1959,28.7938011363177,"Enclosed",106188,433001,-25.2441860465117
"219",38,1984,56.2822803425459,"Enclosed",106178,433001,-0.244186046511686
"220",38,1988,57.2752003356671,"Enclosed",106178,433001,3.75581395348831
"221",38,2014,68.7207697423966,"Enclosed",106178,433001,29.7558139534883
"222",38,1959,49.7004866536426,"Enclosed",106178,433001,-25.2441860465117
"223",38,1996,60.060124048304,"Enclosed",106178,433001,11.7558139534883
"224",38,1964,55.3391545929842,"Enclosed",106178,433001,-20.2441860465117
"225",39,1959,43.0736896499767,"Enclosed",106150,432994,-25.2441860465117
"226",39,1996,46.5862454910932,"Enclosed",106150,432994,11.7558139534883
"227",39,1988,45.0171181353955,"Enclosed",106150,432994,3.75581395348831
"228",39,1964,48.8694372219977,"Enclosed",106150,432994,-20.2441860465117
"229",39,2014,40.2377498563283,"Enclosed",106150,432994,29.7558139534883
"230",39,1984,44.5258123142822,"Enclosed",106150,432994,-0.244186046511686
"231",40,1988,41.074340815324,"Enclosed",106125,432991,3.75581395348831
"232",40,2014,46.7395329030062,"Enclosed",106125,432991,29.7558139534883
"233",40,1984,40.5251707845224,"Enclosed",106125,432991,-0.244186046511686
"234",40,1964,36.6054449005466,"Enclosed",106125,432991,-20.2441860465117
"235",40,1996,39.42885312319,"Enclosed",106125,432991,11.7558139534883
"236",40,1959,31.7276314319963,"Enclosed",106125,432991,-25.2441860465117
"237",41,1988,27.124452066232,"Enclosed",106110,433000,3.75581395348831
"238",41,1984,36.8548873572416,"Enclosed",106110,433000,-0.244186046511686
"239",41,1964,33.3299614950516,"Enclosed",106110,433000,-20.2441860465117
"240",41,1959,35.7218719667244,"Enclosed",106110,433000,-25.2441860465117
"241",41,2014,32.0491031961301,"Enclosed",106110,433000,29.7558139534883
"242",41,1996,29.1316941524269,"Enclosed",106110,433000,11.7558139534883
"243",42,1964,60.338213903009,"Enclosed",106089,432997,-20.2441860465117
"244",42,2014,74.2512023261322,"Enclosed",106089,432997,29.7558139534883
"245",42,1988,54.3664586025705,"Enclosed",106089,432997,3.75581395348831
"246",42,1984,55.9821993392659,"Enclosed",106089,432997,-0.244186046511686
"247",42,1996,55.3390564182138,"Enclosed",106089,432997,11.7558139534883
"248",42,1959,51.9472162748115,"Enclosed",106089,432997,-25.2441860465117
"249",43,1988,57.7478922203078,"Enclosed",106072,432991,3.75581395348831
"250",43,1964,96.3958435845858,"Enclosed",106072,432991,-20.2441860465117
"251",43,2014,67.5433777760895,"Enclosed",106072,432991,29.7558139534883
"252",43,1959,88.158489472103,"Enclosed",106072,432991,-25.2441860465117
"253",43,1984,56.8211420224529,"Enclosed",106072,432991,-0.244186046511686
"254",43,1996,61.9558395952964,"Enclosed",106072,432991,11.7558139534883
"255",46,1988,44.7266778945711,"Enclosed",106012,432982,3.75581395348831
"256",46,1959,40.3257778257899,"Enclosed",106012,432982,-25.2441860465117
"257",46,1996,44.6923559948306,"Enclosed",106012,432982,11.7558139534883
"258",46,1984,45.0955008721026,"Enclosed",106012,432982,-0.244186046511686
"259",46,1964,45.3665614132451,"Enclosed",106012,432982,-20.2441860465117
"260",46,2014,39.6403217364596,"Enclosed",106012,432982,29.7558139534883
"261",47,1996,75.9603527866527,"Enclosed",105993,432978,11.7558139534883
"262",47,1988,72.7941771705486,"Enclosed",105993,432978,3.75581395348831
"263",47,1964,71.1193941269198,"Enclosed",105993,432978,-20.2441860465117
"264",47,1984,75.5606243913915,"Enclosed",105993,432978,-0.244186046511686
"265",47,1959,66.9875911038726,"Enclosed",105993,432978,-25.2441860465117
"266",47,2014,64.1113925301863,"Enclosed",105993,432978,29.7558139534883
"267",48,1964,77.5207622227366,"Enclosed",105971,432979,-20.2441860465117
"268",48,1959,72.868259852311,"Enclosed",105971,432979,-25.2441860465117
"269",48,1984,71.624326606168,"Enclosed",105971,432979,-0.244186046511686
"270",48,1988,72.3453221201669,"Enclosed",105971,432979,3.75581395348831
"271",48,2014,36.0477977019015,"Enclosed",105971,432979,29.7558139534883
"272",48,1996,70.746545983801,"Enclosed",105971,432979,11.7558139534883
"273",49,1964,70.3814929174538,"Enclosed",105954,432979,-20.2441860465117
"274",49,1984,73.0234348944443,"Enclosed",105954,432979,-0.244186046511686
"275",49,1959,62.6998080055747,"Enclosed",105954,432979,-25.2441860465117
"276",49,2014,71.2009487839079,"Enclosed",105954,432979,29.7558139534883
"277",49,1996,66.6860963838984,"Enclosed",105954,432979,11.7558139534883
"278",49,1988,74.1162968038577,"Enclosed",105954,432979,3.75581395348831
"279",50,1984,48.6402776728724,"Enclosed",105929,432973,-0.244186046511686
"280",50,1959,36.6795668522172,"Enclosed",105929,432973,-25.2441860465117
"281",50,2014,60.1719123840693,"Enclosed",105929,432973,29.7558139534883
"282",50,1988,48.3278855533811,"Enclosed",105929,432973,3.75581395348831
"283",50,1996,52.3635362062744,"Enclosed",105929,432973,11.7558139534883
"284",50,1964,42.8650682628242,"Enclosed",105929,432973,-20.2441860465117
"285",52,2014,30.352983045328,"Unenclosed",105975,433091,29.7558139534883
"286",52,1999,27.1593237446869,"Unenclosed",105975,433091,14.7558139534883
"287",52,1964,61.6635733037422,"Unenclosed",105975,433091,-20.2441860465117
"288",52,1959,48.7913882795101,"Unenclosed",105975,433091,-25.2441860465117
"289",53,1964,50.4618319982861,"Unenclosed",105976,433113,-20.2441860465117
"290",53,2014,31.9555270949017,"Unenclosed",105976,433113,29.7558139534883
"291",53,1959,46.8514548159184,"Unenclosed",105976,433113,-25.2441860465117
"292",53,1999,29.0357577667679,"Unenclosed",105976,433113,14.7558139534883
"293",54,1964,55.9144587476728,"Unenclosed",105972,433133,-20.2441860465117
"294",54,1959,39.9183525285274,"Unenclosed",105972,433133,-25.2441860465117
"295",54,2014,31.0787304548289,"Unenclosed",105972,433133,29.7558139534883
"296",54,1999,25.9367729635424,"Unenclosed",105972,433133,14.7558139534883
"297",55,1959,55.1246427196063,"Unenclosed",105964,433154,-25.2441860465117
"298",55,2014,59.5965168830156,"Unenclosed",105964,433154,29.7558139534883
"299",55,1964,60.8742481495277,"Unenclosed",105964,433154,-20.2441860465117
"300",55,1999,57.0473563284655,"Unenclosed",105964,433154,14.7558139534883
"301",56,2014,24.5235709000098,"Unenclosed",105960,433174,29.7558139534883
"302",56,1999,22.0367016686056,"Unenclosed",105960,433174,14.7558139534883
"303",56,1959,46.7650610179447,"Unenclosed",105960,433174,-25.2441860465117
"304",56,1964,52.6668373420244,"Unenclosed",105960,433174,-20.2441860465117
"305",57,1964,38.8968440422586,"Unenclosed",105960,433191,-20.2441860465117
"306",57,2014,21.0280980298321,"Unenclosed",105960,433191,29.7558139534883
"307",57,1959,25.6702480967935,"Unenclosed",105960,433191,-25.2441860465117
"308",57,1999,18.7571145577069,"Unenclosed",105960,433191,14.7558139534883
"309",58,1964,37.8876074022929,"Unenclosed",105950,433212,-20.2441860465117
"310",58,1959,36.0841368695915,"Unenclosed",105950,433212,-25.2441860465117
"311",58,2014,5.90768183268811,"Unenclosed",105950,433212,29.7558139534883
"312",58,1999,4.70465280847522,"Unenclosed",105950,433212,14.7558139534883
"313",60,1964,44.3494707916454,"Unenclosed",105939,433249,-20.2441860465117
"314",60,1959,38.7908152902,"Unenclosed",105939,433249,-25.2441860465117
"315",60,2014,16.7791094808581,"Unenclosed",105939,433249,29.7558139534883
"316",60,1999,19.9698085919007,"Unenclosed",105939,433249,14.7558139534883
"317",61,2014,48.4522832232388,"Unenclosed",105935,433264,29.7558139534883
"318",61,1959,45.2939120831308,"Unenclosed",105935,433264,-25.2441860465117
"319",61,1999,44.7991112401904,"Unenclosed",105935,433264,14.7558139534883
"320",61,1964,56.4524564896001,"Unenclosed",105935,433264,-20.2441860465117
"321",62,1999,19.9176581538511,"Unenclosed",105928,433286,14.7558139534883
"322",62,1964,22.1325202445401,"Unenclosed",105928,433286,-20.2441860465117
"323",62,2014,25.9095304986944,"Unenclosed",105928,433286,29.7558139534883
"324",62,1959,18.9629477813793,"Unenclosed",105928,433286,-25.2441860465117
"325",63,1964,59.1900599628923,"Unenclosed",105923,433305,-20.2441860465117
"326",63,1959,54.3269727099057,"Unenclosed",105923,433305,-25.2441860465117
"327",63,2014,45.8312491337978,"Unenclosed",105923,433305,29.7558139534883
"328",63,1999,44.3307390454484,"Unenclosed",105923,433305,14.7558139534883
"329",64,1964,57.3631452950135,"Unenclosed",105916,433326,-20.2441860465117
"330",64,1959,47.8258394123834,"Unenclosed",105916,433326,-25.2441860465117
"331",64,2014,36.1031043904269,"Unenclosed",105916,433326,29.7558139534883
"332",64,1999,29.5603448350551,"Unenclosed",105916,433326,14.7558139534883
"333",65,1959,28.6248178127242,"Unenclosed",105914,433343,-25.2441860465117
"334",65,2014,5.35561351028813,"Unenclosed",105914,433343,29.7558139534883
"335",65,1999,3.92316200094068,"Unenclosed",105914,433343,14.7558139534883
"336",65,1964,37.0865012756275,"Unenclosed",105914,433343,-20.2441860465117
"337",66,2014,24.5840669216316,"Unenclosed",105906,433363,29.7558139534883
"338",66,1999,21.575830026324,"Unenclosed",105906,433363,14.7558139534883
"339",66,1959,64.3574890041954,"Unenclosed",105906,433363,-25.2441860465117
"340",66,1964,74.2397613951438,"Unenclosed",105906,433363,-20.2441860465117
"341",67,1964,13.0729524297505,"Unenclosed",105902,433383,-20.2441860465117
"342",67,1999,28.4902791073343,"Unenclosed",105902,433383,14.7558139534883
"343",67,1959,10.1502895142078,"Unenclosed",105902,433383,-25.2441860465117
"344",67,2014,35.6971617109008,"Unenclosed",105902,433383,29.7558139534883
